Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2023,3,1,2,33.3%,3-4,42.9%,28-34,45.2%,0-0,-,3,67.7%,22.6%,3.1%,2.6%,67.5%,62.6%,50.8%,58.8%,38.5%,48.1%,0.93,R16 (Tokyo)
2022,19,5,14,26.3%,12-31,27.9%,169-232,42.1%,3-1,75.0%,18,58.4%,23.8%,1.6%,4.8%,60.6%,60.9%,40.8%,53.0%,39.1%,46.5%,0.83,SF (Adelaide 1)
2021,31,10,21,32.3%,25-45,35.7%,291-365,44.4%,2-1,66.7%,29,59.0%,28.8%,1.3%,3.8%,60.9%,59.1%,45.6%,53.8%,40.7%,47.2%,0.88,R16 (4x)
2020,10,1,9,10.0%,7-19,26.9%,104-142,42.3%,0-3,0.0%,10,56.6%,28.1%,0.7%,4.7%,63.4%,58.4%,41.6%,52.3%,41.1%,46.8%,0.86,R16 (Istanbul)
2019,25,10,15,40.0%,26-33,44.1%,262-287,47.7%,2-5,28.6%,25,62.4%,32.8%,1.1%,4.2%,60.9%,61.9%,46.3%,55.8%,41.4%,48.9%,0.94,F (Hiroshima)
2018,4,1,3,25.0%,4-7,36.4%,48-51,48.5%,1-1,50.0%,4,58.0%,38.3%,0.9%,2.6%,63.6%,59.6%,44.8%,54.2%,44.9%,49.7%,0.98,R16 (Tianjin)
2017,30,12,18,40.0%,25-39,39.1%,287-327,46.7%,4-5,44.4%,30,64.7%,31.8%,1.8%,2.7%,61.5%,60.2%,46.2%,54.8%,42.1%,48.5%,0.93,SF (Nurnberg)
2016,46,19,27,41.3%,44-59,42.7%,442-513,46.3%,6-4,60.0%,46,65.2%,27.4%,2.6%,3.1%,59.9%,62.5%,47.2%,56.3%,40.2%,48.5%,0.92,F (Kaohsiung)
2015,29,14,15,48.3%,33-34,49.3%,298-313,48.8%,4-3,57.1%,18,60.7%,34.2%,3.3%,3.4%,63.5%,61.8%,45.4%,55.8%,42.6%,49.7%,0.96,W (Luxembourg)
2014,17,5,12,29.4%,12-26,31.6%,154-205,42.9%,2-2,50.0%,15,-,-,2.2%,3.6%,60.8%,62.2%,41.1%,54.0%,41.4%,47.7%,0.90,R16 (4x)
2013,25,9,16,36.0%,23-34,40.4%,240-279,46.2%,2-2,50.0%,20,-,-,2.1%,5.3%,59.4%,62.3%,47.9%,56.4%,42.0%,48.8%,0.96,QF (2x)
2012,19,10,9,52.6%,22-23,48.9%,220-203,52.0%,0-3,0.0%,19,-,-,2.4%,4.3%,62.4%,62.3%,49.0%,57.3%,45.3%,51.0%,1.06,SF (Osaka)
2011,19,7,12,36.8%,16-24,40.0%,178-199,47.2%,2-3,40.0%,15,-,-,1.6%,4.9%,61.7%,60.7%,38.4%,52.2%,42.6%,47.4%,0.89,R16 (3x)
2010,3,0,3,0.0%,1-6,14.3%,20-39,33.9%,0-0,-,3,-,-,0.0%,3.0%,67.5%,58.4%,43.9%,53.7%,35.1%,44.4%,0.76,R32 (Osaka)
Career,280,104,176,37.1%,253-384,39.7%,2741-3189,46.2%,28-33,45.9%,255,62.0%,29.5%,1.9%,3.8%,61.3%,61.2%,45.2%,55.0%,41.5%,48.3%,0.92,
