Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2008 Wimbledon SF,L vs Nadal,15.1%,69.2%,15.9%,73.1%,12.5%,4.0%,16.7%,13.3%,0.0%,1.3%,33.3%,-32,-54
2004 Monte Carlo F,L vs Coria,11.9%,70.0%,24.8%,52.6%,3.7%,5.0%,0.0%,1.6%,9.1%,2.1%,30.0%,-53,-73
2004 Monte Carlo SF,W vs Moya,15.9%,76.9%,22.0%,77.1%,10.7%,10.7%,40.0%,13.9%,33.3%,3.0%,28.6%,-11,-28
2003 Masters Cup SF,L vs Agassi,0.0%,-,7.5%,61.5%,11.1%,12.8%,8.3%,5.8%,36.8%,1.9%,37.5%,-73,-66
2003 Cincinnati SF,L vs Fish,0.0%,-,3.4%,100.0%,27.9%,42.9%,100.0%,14.6%,50.0%,1.1%,0.0%,25,32
2003 Canada SF,L vs Nalbandian,0.0%,-,9.1%,69.2%,5.6%,8.3%,16.7%,4.4%,20.0%,0.7%,0.0%,-65,-72
2003 Indian Wells SF,L vs Kuerten,15.0%,66.7%,17.5%,60.7%,6.3%,9.4%,20.0%,5.1%,17.6%,2.5%,57.1%,-25,-29
2003 Australian Open F,L vs Agassi,1.6%,100.0%,9.8%,66.7%,7.4%,18.5%,0.0%,6.4%,20.0%,1.5%,0.0%,-54,-42
2003 Australian Open SF,W vs Roddick,1.0%,0.0%,8.9%,75.0%,15.0%,23.6%,0.0%,13.1%,36.4%,2.5%,40.0%,-45,-49
Career (9 matches),,7.0%,70.0%,12.9%,67.5%,9.9%,14.0%,8.8%,7.3%,25.0%,1.9%,32.1%,-42,-47
