Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2012,855,14,,,,,,,,,,,,
2011,132,428,133,1631,128,1582,141,1556,64,1632,323,180,,
2010,84,597,102,1680,99,1626,118,1595,55,1647,243,270,97,1573
2009,85,575,101,1690,89,1636,120,1603,49,1657,151,450,79,1619
2008,33,942,64,1753,77,1684,97,1656,43,1699,99,650,65,1651
2007,99,433,82,1710,85,1647,94,1647,,,69,814,62,1611
2006,97,435,102,1664,95,1616,85,1648,67,1601,74,709,84,1571
2005,88,463,88,1706,90,1651,70,1690,52,1670,53,1019,47,1669
2004,42,885,42,1824,41,1764,35,1794,28,1742,72,890,57,1646
2003,6,3205,7,1990,6,1938,23,1843,11,1819,73,720,100,1504
2002,33,980,45,1837,40,1795,73,1708,38,1700,144,350,123,1424
2001,43,885,48,1837,33,1816,87,1678,38,1699,135,485,,
2000,45,835,49,1831,41,1782,78,1700,51,1674,199,265,,
1999,48,881,114,1702,97,1662,125,1630,106,1557,424,103,,
1998,124,392,132,1659,113,1627,199,1508,96,1570,276,200,,
1997,117,422,138,1663,138,1596,221,1486,,,428,98,,
1996,332,103,289,1370,270,1332,268,1336,168,1371,660,43,,
1995,446,,,,,,,,,,752,28,,
1994,768,,,,,,,,,,1077,5,,
