Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,4,2,2,50.0%,4-5,44.4%,44-45,49.4%,1-2,33.3%,4,84.1%,14.3%,4.0%,3.0%,61.5%,72.8%,52.2%,64.9%,34.5%,50.3%,0.98,QF (Kigali 2)
2025,21,11,10,52.4%,25-25,50.0%,231-239,49.1%,4-4,50.0%,21,72.8%,25.7%,5.2%,4.6%,58.6%,68.0%,49.9%,60.5%,39.5%,50.0%,1.00,F (2x)
2024,5,3,2,60.0%,8-5,61.5%,64-59,52.0%,1-1,50.0%,5,67.2%,36.7%,2.4%,3.1%,56.2%,64.0%,50.0%,57.9%,43.8%,51.1%,1.04,SF (Maia)
2022,23,8,15,34.8%,23-32,41.8%,241-270,47.2%,1-1,50.0%,23,60.2%,34.0%,2.0%,6.1%,60.4%,60.1%,46.2%,54.6%,43.4%,49.0%,0.96,F (Heilbronn)
2021,48,29,19,60.4%,61-47,56.5%,555-509,52.2%,11-6,64.7%,46,69.7%,34.7%,3.4%,3.7%,63.6%,65.4%,47.9%,59.0%,43.2%,51.0%,1.05,SF (6x)
2020,10,7,3,70.0%,17-7,70.8%,128-95,57.4%,0-1,0.0%,10,81.1%,34.2%,4.9%,3.5%,65.6%,72.5%,52.4%,65.6%,43.7%,54.1%,1.27,F (Guayaquil)
2019,66,47,19,71.2%,101-48,67.8%,779-599,56.5%,9-7,56.3%,66,74.7%,38.1%,3.7%,3.8%,61.9%,67.5%,50.4%,61.0%,44.6%,52.8%,1.14,W (3x)
2018,30,13,17,43.3%,31-35,47.0%,293-303,49.2%,1-3,25.0%,30,70.1%,28.2%,3.8%,4.2%,60.3%,66.1%,49.7%,59.6%,40.3%,49.7%,1.00,W (Liberec)
2017,45,29,16,64.4%,64-41,61.0%,546-469,53.8%,10-7,58.8%,45,74.6%,32.3%,3.7%,4.7%,61.4%,67.2%,50.5%,60.7%,42.6%,51.5%,1.08,W (2x)
2016,41,18,23,43.9%,41-53,43.6%,416-476,46.6%,4-6,40.0%,41,67.3%,26.2%,3.0%,5.0%,64.2%,64.4%,45.7%,57.7%,39.8%,48.7%,0.94,SF (Poprad)
2015,61,34,27,55.7%,73-67,52.1%,673-643,51.1%,9-10,47.4%,61,67.3%,35.2%,3.1%,4.4%,62.5%,63.5%,48.1%,57.7%,43.2%,50.5%,1.02,W (2x)
2014,36,23,13,63.9%,54-33,62.1%,452-375,54.7%,4-8,33.3%,36,73.7%,36.3%,4.8%,6.4%,58.5%,68.4%,49.4%,60.6%,44.0%,52.1%,1.12,W (Liberec)
2013,53,29,24,54.7%,61-59,50.8%,562-561,50.0%,7-6,53.8%,50,69.5%,32.6%,2.9%,5.6%,61.9%,65.7%,47.4%,58.8%,42.6%,50.6%,1.03,W (2x)
2012,40,20,20,50.0%,47-47,50.0%,440-438,50.1%,5-5,50.0%,40,68.3%,31.9%,2.8%,4.3%,66.0%,63.6%,47.8%,58.2%,42.1%,50.1%,1.01,F (Noumea)
2011,28,11,17,39.3%,31-36,46.3%,322-336,48.9%,4-8,33.3%,28,72.1%,26.2%,4.6%,4.2%,65.4%,64.8%,48.9%,59.3%,39.0%,49.4%,0.96,SF (Singapore)
2010,34,20,14,58.8%,43-35,55.1%,382-352,52.0%,5-5,50.0%,33,74.4%,29.5%,4.5%,4.5%,64.6%,68.3%,46.4%,60.6%,41.6%,51.0%,1.05,W (Samarkand)
2009,3,1,2,33.3%,1-4,20.0%,23-28,45.1%,0-2,0.0%,0,,,,,,,,,,,,R16 (Bratislava)
2008,9,6,3,66.7%,13-8,61.9%,107-93,53.5%,1-2,33.3%,0,,,,,,,,,,,,W (Trnava)
Career,557,311,246,55.8%,698-587,54.3%,6258-5890,51.5%,77-84,47.8%,539,70.9%,32.4%,3.6%,4.6%,62.4%,65.8%,48.6%,59.3%,42.3%,50.8%,1.04,
