Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-16),407,115,296,1470,,,248,1445,,,,,,
2025,335,149,295,1473,,,249,1447,,,,,,
2024,427,104,,,,,,,,,2292,2,,
2022,444,92,290,1450,314,1361,274,1419,240,1336,,,,
2021,116,643,222,1526,273,1402,190,1505,236,1349,,,,
2020,101,724,159,1572,225,1435,130,1560,,,375,124,,
2019,107,528,167,1586,253,1436,124,1579,251,1350,361,124,,
2018,183,277,233,1496,264,1397,176,1504,245,1322,171,368,,
2017,160,344,170,1577,221,1460,134,1563,219,1386,704,60,,
2016,137,451,197,1541,228,1446,148,1539,217,1375,82,959,112,1540
2015,146,406,198,1537,218,1452,154,1534,215,1407,92,849,,
2014,179,288,128,1639,163,1539,92,1655,158,1468,269,260,,
2013,128,437,227,1500,209,1472,188,1496,,,312,200,,
2012,203,238,313,1393,275,1389,271,1392,,,371,164,,
2011,309,143,327,1362,269,1389,323,1303,241,1353,383,145,,
2010,177,301,233,1504,218,1456,232,1451,172,1453,370,155,,
2009,423,85,,,,,,,,,458,110,,
2008,507,53,,,,,,,,,620,68,,
2007,1299,3,,,,,,,,,923,24,,
2006,,,,,,,,,,,1637,2,,
2005,,,,,,,,,,,1091,13,,
