Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2021,19,4,15,21.1%,14-32,30.4%,182-246,42.5%,0-4,0.0%,19,62.2%,25.6%,4.8%,5.1%,54.5%,63.7%,45.2%,55.3%,39.8%,47.4%,0.89,R16 (Cleveland)
2020,14,6,8,42.9%,16-17,48.5%,152-153,49.8%,0-3,0.0%,14,63.3%,37.5%,2.7%,4.4%,56.5%,61.6%,45.4%,54.6%,44.7%,49.9%,0.98,QF (Istanbul)
2019,40,19,21,47.5%,47-50,48.5%,471-485,49.3%,7-10,41.2%,39,69.5%,29.7%,4.6%,5.7%,56.3%,66.0%,49.3%,58.7%,40.8%,49.8%,0.99,W (Lugano)
2018,34,15,19,44.1%,34-40,45.9%,329-353,48.2%,3-4,42.9%,34,64.6%,31.7%,4.8%,5.7%,55.3%,63.4%,47.3%,56.2%,42.3%,49.3%,0.97,F (Istanbul)
2017,4,2,2,50.0%,5-5,50.0%,49-43,53.3%,0-2,0.0%,4,66.7%,31.3%,5.5%,5.5%,60.9%,67.3%,48.1%,59.8%,44.6%,51.6%,1.11,R32 (2x)
2016,28,10,18,35.7%,25-36,41.0%,262-292,47.3%,4-1,80.0%,28,56.6%,36.8%,3.1%,5.2%,56.6%,59.5%,43.5%,52.5%,43.6%,48.2%,0.92,F (Bol)
2015,42,19,23,45.2%,51-51,50.0%,481-478,50.2%,4-5,44.4%,37,68.6%,34.8%,4.1%,4.5%,63.4%,65.4%,51.7%,60.4%,39.7%,50.0%,1.00,SF (Bucharest)
2014,28,12,16,42.9%,27-35,43.5%,276-302,47.8%,3-5,37.5%,24,-,-,4.3%,4.1%,57.9%,63.9%,46.5%,56.5%,40.3%,48.4%,0.93,QF (3x)
2013,19,9,10,47.4%,24-22,52.2%,229-205,52.8%,1-6,14.3%,14,-,-,3.5%,3.2%,67.3%,63.6%,50.0%,59.1%,42.1%,50.7%,1.03,QF (3x)
2012,37,14,23,37.8%,31-48,39.2%,325-400,44.8%,3-5,37.5%,34,-,-,3.6%,4.0%,60.6%,63.0%,45.2%,56.0%,40.3%,48.0%,0.92,W (Bastad)
2011,56,30,26,53.6%,66-60,52.4%,602-591,50.5%,5-8,38.5%,46,-,-,3.7%,3.9%,65.5%,62.4%,47.9%,57.4%,42.3%,49.7%,0.99,W (Bastad)
2010,53,27,26,50.9%,60-58,50.8%,554-529,51.2%,1-3,25.0%,46,-,-,3.4%,4.2%,62.2%,64.1%,47.9%,58.0%,43.0%,50.3%,1.02,F (Acapulco)
2009,14,6,8,42.9%,13-19,40.6%,142-159,47.2%,1-2,33.3%,13,-,-,2.9%,4.0%,62.2%,62.3%,44.4%,55.5%,40.8%,48.3%,0.92,QF (Fes)
2008,3,1,2,33.3%,3-5,37.5%,44-48,47.8%,1-1,50.0%,1,-,-,0.0%,6.2%,84.0%,47.1%,23.1%,43.2%,45.7%,44.4%,0.80,
2007,2,0,2,0.0%,2-4,33.3%,25-33,43.1%,1-0,100.0%,1,-,-,5.1%,4.2%,69.5%,58.5%,36.1%,51.7%,39.4%,46.1%,0.82,
Career,393,174,219,44.3%,418-482,46.4%,4123-4317,48.9%,34-59,36.6%,354,65.0%,32.3%,3.9%,4.6%,60.2%,63.4%,47.3%,57.0%,41.6%,49.3%,0.97,
