Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2021 Cluj Napoca R32,L vs Raducanu,22.1%,29.8%,48.0%,26.1%,36.2%,52.9%,48.5%,55.6%,66.7%,17.2%,20.7%,37.5%,25.0%,70.6%,75.0%,46
2021 Roland Garros R128,W vs Bertens,15.7%,24.1%,46.9%,26.5%,41.2%,48.0%,40.0%,47.4%,40.0%,9.3%,14.0%,46.2%,0.0%,90.0%,100.0%,-25
2021 Abu Dhabi R64,L vs Sabalenka,21.3%,32.0%,38.9%,24.2%,30.3%,36.0%,25.0%,41.2%,20.0%,21.6%,37.8%,41.4%,5.9%,70.0%,50.0%,40
2020 Roland Garros R64,L vs Fernandez,9.2%,18.4%,42.5%,12.2%,26.5%,53.5%,38.5%,43.5%,40.0%,6.4%,10.6%,31.8%,34.8%,20.8%,0.0%,-55
2020 Rome R32,W vs Bertens,13.3%,31.7%,60.4%,20.0%,42.9%,64.3%,40.0%,45.0%,50.0%,4.8%,19.0%,55.0%,0.0%,88.9%,100.0%,-73
2020 Prague R32,L vs Halep,19.8%,26.7%,38.2%,25.6%,30.8%,32.8%,38.9%,76.2%,81.8%,8.8%,20.6%,48.4%,5.9%,70.6%,100.0%,-28
2020 Australian Open R128,W vs Peterson,21.6%,33.8%,51.8%,30.0%,40.0%,53.6%,31.6%,61.9%,33.3%,12.5%,28.1%,50.0%,6.7%,41.2%,50.0%,-33
2019 Moscow R32,W vs Siniakova,25.8%,36.4%,56.8%,34.3%,45.7%,52.2%,55.6%,29.4%,0.0%,19.2%,30.8%,61.9%,9.1%,53.3%,40.0%,67
2019 Beijing R16,L vs Bertens,20.2%,35.7%,55.7%,29.3%,58.5%,65.5%,6.7%,26.9%,50.0%,13.5%,16.2%,46.9%,5.3%,66.7%,-,15
2019 Beijing R32,W vs Kerber,23.2%,32.1%,71.1%,31.8%,50.0%,73.3%,16.7%,40.0%,100.0%,20.7%,24.1%,69.6%,54.5%,33.3%,100.0%,73
2019 Zhengzhou R16,L vs Pliskova,16.9%,26.8%,44.6%,16.7%,33.3%,40.0%,0.0%,0.0%,0.0%,18.8%,21.9%,50.0%,0.0%,0.0%,0.0%,0
2019 Wimbledon R32,L vs Gauff,21.2%,32.7%,58.4%,29.2%,41.7%,58.8%,33.3%,40.7%,100.0%,15.7%,27.5%,58.1%,19.0%,56.7%,66.7%,-16
2019 Eastbourne R16,L vs Halep,25.0%,37.0%,38.5%,31.6%,43.9%,41.0%,36.0%,37.5%,16.7%,16.1%,29.0%,34.6%,25.0%,66.7%,83.3%,34
2019 Lugano F,W vs Swiatek,24.1%,31.3%,45.8%,26.7%,35.6%,45.5%,5.9%,53.6%,60.0%,23.5%,29.4%,46.2%,10.0%,64.3%,50.0%,23
2019 Lugano SF,W vs Ferro,17.2%,29.7%,56.0%,18.4%,36.8%,64.5%,50.0%,72.2%,100.0%,17.4%,21.7%,42.1%,42.9%,62.5%,100.0%,35
2019 Lugano R16,W vs Cirstea,20.0%,29.5%,41.8%,26.7%,36.0%,40.0%,19.4%,66.7%,80.0%,4.0%,16.0%,45.8%,15.4%,41.7%,33.3%,-80
2019 Lugano R32,W vs Suarez Navarro,29.7%,37.4%,49.2%,32.8%,43.1%,59.0%,15.4%,71.9%,60.0%,26.7%,30.0%,31.8%,7.1%,62.5%,100.0%,6
2019 Miami R32,L vs Halep,15.5%,26.7%,52.6%,25.4%,40.7%,59.1%,18.5%,43.8%,66.7%,5.6%,13.0%,47.1%,4.2%,70.0%,100.0%,-58
2018 Istanbul F,L vs Parmentier,14.5%,19.7%,43.8%,16.7%,20.8%,37.5%,38.5%,63.6%,33.3%,11.1%,18.5%,54.2%,0.0%,76.5%,100.0%,-61
2018 Istanbul R32,W vs Sabalenka,32.8%,44.3%,61.1%,43.2%,56.8%,66.7%,38.5%,62.5%,100.0%,20.0%,30.0%,56.3%,0.0%,85.7%,100.0%,65
Career (26 matches),,19.6%,29.1%,47.2%,25.2%,36.9%,48.8%,33.0%,51.5%,56.7%,13.9%,21.3%,45.3%,13.3%,57.0%,66.2%,24
