Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2019 Barletta CH R64,W vs Kolar,1.11,1.20,66.7,4.6,4.7%,65.1%,5.4%,59.5%,38.3%,42.2%
2019 Davis Cup RR,W vs Ahouda,1.21,1.70,43.7,3.0,-,69.7%,-,70.0%,40.0%,45.5%
2019 St. Brieuc CH R64,L vs Brkic,0.98,0.82,65.1,2.9,6.3%,68.8%,13.3%,55.6%,37.2%,25.6%
2019 Pau CH R32,L vs Ofner,0.83,0.73,59.7,3.0,5.7%,57.1%,18.2%,72.7%,18.4%,45.5%
2019 Pau CH R64,W vs Taberner,1.01,1.39,60.3,2.4,7.5%,72.5%,11.1%,72.2%,40.9%,35.0%
2019 Bergamo CH R64,L vs Marcora,0.72,0.36,30.0,2.0,0.0%,34.8%,10.0%,60.0%,16.0%,40.0%
2019 Bangkok CH R32,L vs Sela,1.24,0.82,49.0,4.2,8.5%,59.6%,9.1%,45.5%,27.9%,35.0%
2019 Bangkok CH R64,W vs Wu,0.90,1.14,69.4,4.1,21.3%,59.6%,15.9%,63.6%,44.3%,53.4%
2019 Chennai CH R16,L vs Moutet,0.85,0.62,43.3,2.0,0.0%,44.4%,8.0%,56.0%,38.2%,34.4%
2019 Chennai CH R32,W vs Ly,1.17,1.31,52.9,4.4,12.5%,57.5%,8.1%,62.2%,43.9%,46.2%
2019 Koblenz CH R64,L vs Kotov,0.80,0.62,60.2,2.5,2.9%,76.5%,0.0%,68.8%,35.3%,6.3%
2019 Columbus CH R16,L vs Choinski,0.84,0.83,60.5,2.8,13.7%,70.6%,11.1%,66.7%,23.5%,38.0%
2019 Columbus CH R32,W vs Bourgue,1.14,1.24,69.3,4.7,8.5%,63.8%,2.3%,62.8%,38.6%,41.5%
2019 Columbus CH R64,W vs Broady,1.02,1.22,75.6,12.7,4.3%,73.9%,5.0%,52.5%,42.9%,43.2%
2018 Biella CH R32,L vs Robredo,0.99,0.79,68.2,3.1,0.0%,54.3%,2.4%,58.5%,43.6%,25.0%
2018 Banja Luka CH QF,L vs Giannessi,0.74,0.66,49.0,2.7,3.6%,64.3%,7.7%,53.8%,47.2%,24.2%
2018 Banja Luka CH R16,W vs Bellucci,1.15,1.16,65.7,11.7,0.0%,67.9%,4.1%,55.1%,31.4%,45.8%
2018 Binghamton CH SF,L vs Thompson,0.77,0.65,46.5,2.6,7.4%,66.7%,7.7%,46.2%,30.6%,43.8%
2018 Binghamton CH R32,W vs Fratangelo,1.12,1.60,52.5,4.0,15.4%,71.8%,20.6%,70.6%,45.5%,36.6%
2018 Gatineau CH R16,L vs Kubler,0.92,0.84,63.2,2.6,10.5%,54.4%,3.6%,69.6%,38.5%,30.4%
2019 (14 matches),,0.99,0.98,59.5,3.2,8.1%,63.8%,9.1%,61.6%,35.3%,38.6%
2018 (13 matches),,0.98,0.91,57.4,2.9,9.3%,63.6%,7.4%,63.5%,36.0%,32.0%
2017 (8 matches),,1.02,0.88,64.1,4.0,7.0%,61.4%,8.1%,59.0%,33.8%,34.5%
2016 (7 matches),,0.98,1.04,68.9,3.0,11.3%,66.2%,11.6%,63.8%,33.0%,41.6%
2015 (3 matches),,0.97,0.72,58.1,3.1,2.7%,55.9%,9.1%,52.5%,35.5%,33.0%
Career (60 matches),,0.99,0.89,60.1,3.1,8.0%,63.5%,8.4%,61.6%,33.3%,34.6%
