Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
10,Claire Feuerstein [FRA],5,5,50.0%,5,1,4,20.0%,2005,2014,1,1.10,3.2%,4.0%,58.1%,75.0%,50.0%,64.5%,39.0%,92.9%,30.0%
6,Petra Cetkovska [CZE],3,3,50.0%,4,2,2,50.0%,2007,2012,0,,,,,,,,,,
6,Stefanie Voegele [SUI],1,5,16.7%,4,2,2,50.0%,2008,2012,0,,,,,,,,,,
5,Stephanie Foretz Gacon [FRA],3,2,60.0%,4,4,0,100.0%,2008,2015,0,,,,,,,,,,
5,Ekaterina Bychkova [RUS],5,0,100.0%,2,2,0,100.0%,2009,2012,0,,,,,,,,,,
5,Yaroslava Shvedova [KAZ],3,2,60.0%,0,0,0,-,2006,2009,0,,,,,,,,,,
4,Vania King [USA],1,3,25.0%,0,0,0,-,2009,2015,2,0.83,7.4%,6.7%,48.5%,69.6%,33.3%,50.9%,40.6%,65.5%,50.0%
4,Richel Hogenkamp [NED],2,2,50.0%,0,0,0,-,2010,2014,1,1.15,6.5%,3.9%,59.7%,60.9%,41.9%,53.2%,53.7%,0.0%,53.8%
4,Alberta Brianti [ITA],1,3,25.0%,2,1,1,50.0%,2006,2013,1,0.45,4.5%,9.1%,52.3%,47.8%,33.3%,40.9%,26.3%,44.4%,0
4,Yanina Wickmayer [BEL],2,2,50.0%,3,1,2,33.3%,2007,2009,1,0.98,3.6%,5.8%,45.3%,64.5%,46.7%,54.7%,44.4%,50.0%,61.5%
3,Lesley Kerkhove [NED],3,0,100.0%,1,1,0,100.0%,2013,2015,0,,,,,,,,,,
3,Aravane Rezai [FRA],2,1,66.7%,0,0,0,-,2010,2015,1,0.78,1.3%,10.7%,48.0%,69.4%,35.9%,52.0%,37.5%,66.7%,40.0%
3,Naomi Broady [GBR],2,1,66.7%,3,2,1,66.7%,2011,2015,0,,,,,,,,,,
3,Michaella Krajicek [NED],0,3,0.0%,1,1,0,100.0%,2011,2013,1,0.72,15.1%,2.3%,52.3%,80.0%,51.2%,66.3%,24.3%,63.6%,100.0%
3,Shuai Zhang [CHN],1,2,33.3%,1,1,0,100.0%,2007,2013,1,0.68,1.9%,3.8%,46.2%,70.8%,32.1%,50.0%,33.9%,20.0%,14.3%
