Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2015,266,167,,,,,,,,,158,417,,
2014,226,215,,,,,,,,,189,312,,
2013,165,389,147,1569,135,1557,186,1405,166,1407,109,701,,
2012,205,290,164,1546,150,1525,183,1407,,,137,565,,
2011,268,207,,,,,,,,,168,448,,
2010,214,276,155,1570,146,1546,185,1439,170,1409,64,1248,,
2009,74,869,83,1725,74,1695,131,1550,164,1446,,,,
2008,97,361,69,1745,55,1721,159,1487,133,1493,,,,
2007,200,147,,,,,,,,,,,,
2006,270,90,,,,,,,,,,,,
2005,364,63,,,,,,,,,,,,
2002,837,7,,,,,,,,,,,,
