Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2015,31,17,14,54.8%,42-33,56.0%,356-313,53.2%,1-2,33.3%,0,,,,,,,,,,,,W (Ponta Delgada Azores $10K)
2014,46,27,19,58.7%,61-45,57.5%,505-482,51.2%,10-3,76.9%,0,,,,,,,,,,,,W (Saguenay 50K)
2013,49,32,17,65.3%,71-40,64.0%,579-442,56.7%,6-7,46.2%,0,,,,,,,,,,,,W (Clermont Ferrand 25K)
2012,52,31,21,59.6%,68-49,58.1%,563-501,52.9%,4-5,44.4%,0,,,,,,,,,,,,F (2x)
2011,39,20,19,51.3%,48-43,52.7%,453-429,51.4%,9-11,45.0%,0,,,,,,,,,,,,F (Vigo 25K)
2010,7,2,5,28.6%,4-12,25.0%,65-89,42.2%,0-1,0.0%,0,,,,,,,,,,,,QF (Tokyo 100K)
2009,25,21,4,84.0%,40-17,70.2%,306-244,55.6%,5-2,71.4%,0,,,,,,,,,,,,W (2x)
2008,47,33,14,70.2%,72-37,66.1%,586-475,55.2%,14-6,70.0%,0,,,,,,,,,,,,W (2x)
2007,57,39,18,68.4%,82-46,64.1%,674-544,55.3%,10-6,62.5%,0,,,,,,,,,,,,W (Merida 10K)
2006,48,29,19,60.4%,64-43,59.8%,537-470,53.3%,3-5,37.5%,0,,,,,,,,,,,,F (2x)
2005,22,16,6,72.7%,36-17,67.9%,286-199,59.0%,1-2,33.3%,0,,,,,,,,,,,,W (2x)
2002,10,6,4,60.0%,14-8,63.6%,106-82,56.4%,0-0,-,0,,,,,,,,,,,,SF (Petange 10K)
2001,11,5,6,45.5%,4-13,23.5%,72-87,45.3%,0-3,0.0%,0,,,,,,,,,,,,QF (Amiens 10K)
2000,6,4,2,66.7%,6-5,54.5%,51-50,50.5%,1-0,100.0%,0,,,,,,,,,,,,QF (2x)
1999,3,2,1,66.7%,4-2,66.7%,31-24,56.4%,0-0,-,0,,,,,,,,,,,,QF (Le Havre 10K)
Career,453,284,169,62.7%,616-410,60.0%,5170-4431,53.8%,64-53,54.7%,0,,,,,,,,,,,,
