Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2025 Paris Masters R32,L vs Davidovich Fokina,24,24,1.0,15.1%,15.1%,15,20,0.8,10.9%,14.6%,8.8%,0.7%,1.0,19.5%,19.5%
2025 Paris Masters R64,W vs Darderi,34,29,1.2,20.1%,17.2%,18,27,0.7,12.6%,18.9%,6.3%,4.9%,0.8,13.6%,16.6%
2025 Kitzbuhel F,L vs Bublik,20,20,1.0,16.4%,16.4%,13,20,0.7,12.6%,19.4%,6.8%,3.9%,1.1,29.5%,27.9%
2025 Gstaad SF,L vs Bublik,21,15,1.4,18.9%,13.5%,19,14,1.4,20.4%,15.1%,8.6%,1.1%,2.3,40.5%,18.0%
2025 Roland Garros R128,L vs Tabilo,53,59,0.9,19.3%,21.5%,41,54,0.8,16.4%,21.6%,10.4%,6.0%,0.6,11.7%,19.0%
2025 Geneva R32,L vs Hurkacz,13,24,0.5,11.8%,21.8%,8,23,0.3,8.2%,23.5%,6.1%,2.0%,0.8,14.5%,17.3%
2025 Australian Open R64,L vs Fearnley,24,33,0.7,11.1%,15.2%,19,31,0.6,9.9%,16.1%,5.2%,3.6%,1.0,13.4%,13.4%
2024 US Open R64,L vs Nakashima,30,31,1.0,18.6%,19.3%,24,28,0.9,17.3%,20.1%,11.5%,3.6%,1.3,16.8%,13.0%
2024 US Open R128,W vs Carreno Busta,32,29,1.1,21.8%,19.7%,21,28,0.8,16.3%,21.7%,10.9%,4.7%,0.3,8.2%,29.9%
2024 Wimbledon R64,L vs Bublik,27,24,1.1,15.3%,13.6%,20,15,1.3,14.6%,10.9%,9.5%,4.4%,3.2,25.6%,8.0%
2024 Wimbledon R128,W vs Bergs,70,43,1.6,19.6%,12.0%,48,33,1.5,15.5%,10.7%,8.1%,3.9%,1.7,20.4%,12.0%
2024 Roland Garros R128,L vs Etcheverry,49,48,1.0,20.8%,20.3%,39,43,0.9,18.2%,20.1%,11.7%,6.1%,1.9,16.5%,8.9%
2024 Dubai R16,L vs Rublev,27,14,1.9,24.3%,12.6%,11,12,0.9,12.8%,14.0%,3.5%,1.2%,2.4,36.0%,15.3%
2024 Montpellier R16,L vs Auger Aliassime,33,34,1.0,17.3%,17.8%,20,32,0.6,12.3%,19.6%,8.6%,3.7%,0.8,14.7%,17.8%
2024 Australian Open R16,L vs Hurkacz,37,37,1.0,18.4%,18.4%,20,35,0.6,11.8%,20.6%,5.9%,5.9%,1.3,18.4%,13.9%
2024 Australian Open R64,W vs Rune,51,33,1.5,20.0%,12.9%,33,31,1.1,14.7%,13.8%,8.0%,4.0%,1.0,18.8%,18.0%
2023 US Open R128,L vs Rublev,30,42,0.7,14.3%,20.0%,24,40,0.6,12.4%,20.6%,9.3%,2.1%,0.8,16.2%,19.5%
2023 Nottingham CH F,L vs Murray,17,28,0.6,14.8%,24.3%,13,28,0.5,12.3%,26.4%,7.5%,2.8%,1.2,18.3%,14.8%
2021 Roland Garros R128,L vs Majchrzak,43,46,0.9,14.6%,15.6%,43,46,0.9,15.9%,17.0%,,,1.1,14.3%,12.9%
Career (19 matches),,635,613,1.0,17.6%,16.9%,449,560,0.8,14.2%,17.7%,7.7%,3.5%,1.1,18.2%,16.0%
