Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2025 Bogota R32,L vs Serban,16.2%,20.3%,41.7%,20.8%,26.4%,35.7%,15.4%,44.4%,50.0%,5.3%,5.3%,55.6%,0.0%,40.0%,0.0%,-64
2025 Austin R32,W vs Rapolu,21.7%,30.4%,49.0%,28.1%,40.6%,47.8%,46.7%,52.9%,50.0%,17.6%,23.5%,50.0%,22.2%,87.5%,100.0%,-37
2024 Indian Wells R128,W vs Kessler,10.5%,13.2%,55.2%,13.0%,16.7%,59.6%,52.2%,64.5%,100.0%,4.8%,4.8%,45.0%,0.0%,100.0%,100.0%,-66
2023 Roland Garros R128,L vs Hunter,17.8%,26.7%,44.3%,18.6%,30.5%,56.3%,48.3%,50.0%,57.1%,18.5%,22.2%,18.2%,36.4%,56.3%,33.3%,52
2023 Australian Open R32,L vs Vekic,10.9%,19.6%,37.8%,15.2%,24.2%,39.3%,14.3%,52.6%,50.0%,0.0%,11.1%,33.3%,0.0%,25.0%,-,-119
2023 Australian Open R128,W vs Haddad Maia,12.8%,24.4%,52.2%,18.2%,32.7%,53.3%,22.7%,51.5%,33.3%,0.0%,4.5%,50.0%,0.0%,23.1%,0.0%,-119
2022 United Cup RR,L vs Swan,9.5%,17.9%,47.2%,10.0%,21.7%,46.3%,50.0%,43.8%,36.4%,10.0%,10.0%,50.0%,0.0%,66.7%,100.0%,-23
2022 BJK Cup Finals RR,W vs Putintseva,18.6%,27.1%,46.2%,20.0%,30.7%,45.0%,66.7%,4.8%,0.0%,17.5%,22.5%,48.5%,52.4%,36.8%,0.0%,-20
2022 Toronto R64,L vs Williams,24.1%,27.6%,47.5%,28.9%,34.2%,48.1%,23.5%,28.6%,0.0%,18.8%,18.8%,46.2%,0.0%,75.0%,100.0%,54
2022 Roland Garros R128,L vs Jeanjean,6.3%,7.9%,43.9%,2.5%,5.0%,43.6%,72.2%,59.1%,25.0%,14.3%,14.3%,44.4%,36.4%,70.0%,0.0%,1
2022 Rome R32,L vs Andreescu,14.3%,23.2%,47.8%,13.2%,26.3%,51.5%,7.7%,68.0%,100.0%,18.8%,18.8%,38.5%,0.0%,33.3%,0.0%,30
2022 BJK Cup Qualifiers RR,W vs Rus,19.0%,27.6%,53.2%,19.5%,31.7%,57.6%,35.0%,28.6%,33.3%,17.6%,17.6%,42.9%,100.0%,15.4%,0.0%,-104
2022 Monterrey SF,L vs Osorio,16.5%,19.0%,36.9%,14.9%,16.4%,35.1%,55.9%,54.5%,66.7%,27.3%,36.4%,50.0%,40.0%,66.7%,100.0%,-3
2022 Monterrey QF,W vs Sorribes Tormo,9.1%,11.8%,43.0%,7.4%,10.6%,41.4%,4.7%,58.8%,68.8%,18.8%,18.8%,53.8%,0.0%,100.0%,-,-104
2021 Gdynia R16,W vs Anshba,4.8%,11.1%,55.2%,0.0%,8.7%,60.9%,76.2%,60.0%,100.0%,20.0%,20.0%,33.3%,85.7%,62.5%,0.0%,38
2021 Bogota R16,W vs Rus,21.3%,25.5%,49.3%,22.9%,28.6%,48.1%,32.1%,26.2%,20.0%,19.0%,19.0%,52.9%,38.5%,37.5%,0.0%,1
2021 ITF Potchefstroom F,W vs Zhao,10.2%,18.4%,47.6%,14.3%,25.7%,36.7%,18.8%,21.1%,60.0%,0.0%,0.0%,75.0%,0.0%,83.3%,50.0%,-119
2021 ITF Potchefstroom SF,W vs Von Deichmann,3.3%,9.8%,44.8%,2.0%,10.0%,49.0%,16.7%,30.8%,50.0%,10.0%,10.0%,22.2%,0.0%,33.3%,0.0%,-14
2020 Australian Open Q2,L vs Gabriela Ruse,17.5%,26.3%,37.7%,18.4%,32.7%,45.0%,52.2%,57.7%,40.0%,19.2%,19.2%,23.8%,46.7%,54.5%,66.7%,67
Last 52 Weeks (1 matches),,16.2%,20.3%,41.7%,20.8%,26.4%,35.7%,15.4%,44.4%,50.0%,5.3%,5.3%,55.6%,0.0%,40.0%,0.0%,-64
Career (19 matches),,14.2%,20.6%,46.3%,14.9%,23.2%,47.1%,38.0%,44.6%,51.4%,14.2%,16.4%,44.1%,24.7%,54.6%,50.0%,18
