Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,63,26,37,41.3%,59-81,42.1%,595-689,46.3%,7-9,43.8%,60,58.4%,36.4%,0.7%,2.7%,70.9%,56.4%,46.2%,53.4%,44.0%,48.7%,0.94
Clay,36,16,20,44.4%,38-45,45.8%,384-406,48.6%,5-4,55.6%,34,58.7%,35.8%,0.7%,2.5%,73.9%,55.2%,46.5%,52.9%,44.1%,48.4%,0.94
Grass,5,0,5,0.0%,2-10,16.7%,47-74,38.8%,2-0,100.0%,5,58.6%,18.0%,2.1%,4.7%,70.0%,58.6%,40.9%,53.3%,36.6%,45.0%,0.78
Grand Slams,13,3,10,23.1%,8-18,30.8%,98-136,41.9%,1-1,50.0%,13,52.5%,32.2%,1.2%,3.5%,68.2%,55.1%,42.7%,51.1%,42.1%,46.6%,0.86
Premiers,10,2,8,20.0%,5-17,22.7%,96-130,42.5%,2-3,40.0%,10,58.8%,26.1%,1.3%,3.6%,71.8%,55.3%,45.0%,52.4%,40.6%,46.5%,0.85
Internationals,67,29,38,43.3%,69-87,44.2%,687-759,47.5%,8-9,47.1%,66,59.5%,36.4%,0.6%,2.5%,72.5%,56.4%,46.3%,53.6%,44.3%,49.0%,0.96
Semi-finals,1,0,1,0.0%,0-2,0.0%,8-12,40.0%,0-0,-,1,40.0%,40.0%,1.3%,1.3%,84.8%,44.8%,58.3%,46.8%,48.1%,47.4%,0.91
Quarter-finals,10,1,9,10.0%,5-19,20.8%,86-139,38.2%,1-2,33.3%,9,45.1%,32.7%,0.3%,1.9%,77.0%,50.6%,38.6%,47.8%,43.6%,45.7%,0.84
vs Righties,88,32,56,36.4%,77-123,38.5%,850-1014,45.6%,9-11,45.0%,83,58.2%,33.3%,0.8%,2.9%,72.4%,55.8%,45.9%,53.1%,42.8%,48.0%,0.91
vs Lefties,13,8,5,61.5%,18-11,62.1%,145-132,52.3%,5-2,71.4%,13,57.8%,45.6%,0.9%,1.6%,70.8%,56.6%,44.9%,53.2%,47.8%,50.5%,1.02
vs Top 10,4,0,4,0.0%,0-8,0.0%,21-49,30.0%,0-1,0.0%,4,50.0%,11.4%,1.4%,4.2%,70.6%,53.6%,39.7%,49.5%,31.9%,40.7%,0.63
