Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2000 Roland Garros SF,L vs Martinez,0.0%,-,21.1%,47.4%,2.9%,3.0%,0.0%,2.0%,7.1%,0.3%,100.0%,-122,-122
2000 Hilton Head F,L vs Pierce,0.0%,-,7.2%,33.3%,4.1%,11.8%,0.0%,13.0%,33.3%,1.9%,33.3%,-111,-130
1999 Roland Garros SF,L vs Hingis,0.0%,-,12.5%,53.8%,5.2%,8.6%,0.0%,9.4%,15.4%,0.4%,0.0%,-45,-51
1998 Montreal F,L vs Seles,0.0%,-,8.0%,88.9%,8.4%,10.0%,0.0%,7.8%,50.0%,1.6%,25.0%,-25,-45
1998 Roland Garros F,W vs Seles,0.0%,-,6.3%,63.6%,6.4%,10.8%,0.0%,13.8%,20.0%,0.7%,33.3%,-124,-116
1998 Roland Garros SF,W vs Davenport,0.0%,-,4.2%,100.0%,12.1%,15.7%,0.0%,5.8%,25.0%,1.2%,0.0%,-100,-96
1997 Wimbledon SF,L vs Novotna,14.3%,33.3%,11.5%,40.0%,9.1%,25.0%,0.0%,35.3%,75.0%,0.0%,-,-6,-127
1996 Toronto F,L vs Seles,0.0%,-,12.7%,71.4%,4.5%,9.5%,5.3%,15.2%,33.3%,4.4%,37.5%,-40,-76
1996 Olympics F,L vs Davenport,1.7%,100.0%,7.3%,80.0%,12.0%,23.5%,0.0%,7.0%,18.8%,2.0%,20.0%,-93,-67
1996 Wimbledon F,L vs Graf,13.4%,88.9%,18.6%,77.8%,9.8%,0.0%,0.0%,10.2%,42.9%,0.5%,0.0%,-56,-43
1996 Wimbledon F,L vs Graf,13.4%,88.9%,19.3%,75.0%,9.4%,0.0%,0.0%,9.7%,37.5%,0.4%,0.0%,-67,-52
1996 Wimbledon SF,W vs Mcgrath,0.0%,-,12.9%,90.9%,27.0%,50.0%,0.0%,31.8%,50.0%,1.9%,100.0%,67,-3
1996 Roland Garros F,L vs Graf,0.0%,-,9.2%,73.9%,6.1%,7.6%,0.0%,5.4%,28.0%,0.5%,0.0%,-124,-126
1996 Hilton Head F,W vs Paulus,0.0%,-,9.0%,50.0%,2.1%,15.4%,0.0%,7.3%,14.3%,2.1%,25.0%,-124,-121
1995 Wimbledon F,L vs Graf,7.4%,62.5%,13.1%,65.4%,10.6%,9.7%,0.0%,9.2%,25.0%,1.5%,40.0%,-44,-36
1995 Wimbledon SF,W vs Martinez,10.1%,66.7%,20.4%,73.0%,9.5%,5.9%,0.0%,9.9%,42.9%,1.7%,50.0%,-75,-82
1995 Roland Garros F,L vs Graf,0.0%,-,8.6%,42.9%,3.5%,6.7%,0.0%,8.3%,28.6%,0.5%,0.0%,-136,-101
1995 Roland Garros SF,W vs Date Krumm,0.0%,-,11.0%,71.4%,7.5%,8.0%,0.0%,9.2%,20.0%,1.6%,50.0%,-107,-96
1995 Rome F,L vs Martinez,2.6%,100.0%,21.7%,50.0%,3.7%,5.6%,0.0%,5.6%,33.3%,0.9%,0.0%,-96,-92
1995 Australian Open F,L vs Pierce,1.7%,100.0%,7.3%,87.5%,3.8%,0.0%,0.0%,8.5%,25.0%,1.0%,33.3%,-61,-72
Career (59 matches),,2.0%,61.0%,12.2%,65.2%,6.0%,7.5%,5.3%,6.5%,23.0%,1.1%,28.8%,-94,-97
