Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2000 Roland Garros SF,L vs Martinez,5.7%,8.6%,32.3%,4.8%,9.5%,35.0%,33.3%,66.7%,50.0%,8.3%,8.3%,27.3%,28.6%,40.0%,0.0%,-36
2000 Hilton Head F,L vs Pierce,6.8%,6.8%,29.3%,3.1%,3.1%,35.5%,25.0%,56.3%,50.0%,16.7%,16.7%,10.0%,16.7%,66.7%,75.0%,-104
1999 Roland Garros SF,L vs Hingis,14.0%,18.6%,33.3%,16.7%,23.3%,32.0%,35.7%,81.3%,33.3%,8.3%,8.3%,36.4%,16.7%,50.0%,0.0%,-30
1998 Montreal F,L vs Seles,10.6%,15.2%,47.4%,10.6%,17.0%,57.1%,69.6%,54.2%,60.0%,11.8%,11.8%,20.0%,87.5%,33.3%,-,2
1998 Roland Garros F,W vs Seles,13.7%,13.7%,47.5%,15.7%,15.7%,50.8%,33.3%,65.0%,80.0%,8.7%,8.7%,38.1%,75.0%,27.3%,0.0%,-27
1998 Roland Garros SF,W vs Davenport,11.0%,12.3%,40.3%,8.0%,10.0%,50.0%,24.0%,60.0%,25.0%,20.0%,20.0%,12.5%,71.4%,38.5%,50.0%,53
1997 Wimbledon SF,L vs Novotna,0.0%,4.8%,27.3%,0.0%,0.0%,33.3%,33.3%,50.0%,0.0%,0.0%,15.4%,23.1%,33.3%,50.0%,50.0%,-119
1996 Toronto F,L vs Seles,7.0%,8.8%,36.4%,16.7%,20.8%,50.0%,50.0%,41.7%,100.0%,0.0%,0.0%,15.4%,100.0%,14.3%,50.0%,-119
1996 Olympics F,L vs Davenport,23.4%,26.6%,46.8%,28.2%,30.8%,53.6%,44.4%,38.1%,33.3%,17.4%,21.7%,36.8%,11.1%,21.4%,0.0%,-7
1996 Wimbledon F,L vs Graf,29.4%,33.8%,40.5%,34.4%,43.8%,42.9%,14.3%,61.1%,33.3%,30.0%,30.0%,38.1%,50.0%,62.5%,100.0%,-65
1996 Wimbledon F,L vs Graf,29.4%,33.8%,36.2%,32.4%,41.2%,34.8%,21.4%,55.0%,25.0%,27.3%,27.3%,37.5%,43.8%,58.8%,100.0%,-68
1996 Wimbledon SF,W vs Mcgrath,6.5%,29.0%,90.0%,7.7%,61.5%,83.3%,40.0%,50.0%,-,11.1%,11.1%,100.0%,40.0%,25.0%,-,-4
1996 Roland Garros F,L vs Graf,8.7%,13.9%,51.7%,11.1%,15.3%,45.3%,27.0%,80.0%,60.0%,7.4%,18.5%,68.0%,60.0%,94.1%,100.0%,-42
1996 Hilton Head F,W vs Paulus,11.5%,14.8%,55.1%,17.2%,24.1%,54.2%,61.5%,68.8%,0.0%,7.4%,7.4%,56.0%,46.2%,28.6%,0.0%,-61
1995 Wimbledon F,L vs Graf,21.9%,28.9%,47.7%,23.7%,31.6%,51.7%,31.6%,63.2%,62.5%,18.9%,24.3%,40.0%,86.7%,68.2%,66.7%,-72
1995 Wimbledon SF,W vs Martinez,10.1%,16.9%,55.1%,13.2%,22.6%,54.3%,40.0%,69.7%,40.0%,5.9%,8.8%,56.3%,64.7%,29.4%,0.0%,-55
1995 Roland Garros F,L vs Graf,17.2%,20.7%,40.6%,19.4%,24.2%,42.0%,26.7%,75.0%,100.0%,13.6%,13.6%,36.8%,23.1%,88.9%,100.0%,19
1995 Roland Garros SF,W vs Date Krumm,15.4%,21.5%,50.9%,17.2%,24.1%,50.0%,70.0%,63.2%,-,14.7%,20.6%,51.7%,44.4%,56.3%,50.0%,-37
1995 Rome F,L vs Martinez,7.9%,11.8%,40.0%,8.3%,14.6%,43.2%,48.0%,78.3%,75.0%,8.7%,8.7%,33.3%,75.0%,60.0%,50.0%,-36
1995 Australian Open F,L vs Pierce,10.0%,13.3%,36.5%,10.7%,17.9%,52.0%,41.2%,72.7%,75.0%,10.0%,10.0%,22.2%,72.7%,63.2%,62.5%,-28
Career (59 matches),,12.5%,16.3%,45.2%,12.9%,17.4%,47.4%,31.3%,62.8%,57.8%,14.2%,17.3%,39.2%,37.4%,56.2%,59.6%,-26
