Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2002,52,26,26,50.0%,59-59,50.0%,546-542,50.2%,7-8,46.7%,0,,,,,,,,,,,,F (Brussels)
2001,59,36,23,61.0%,79-59,57.2%,677-585,53.6%,6-10,37.5%,0,,,,,,,,,,,,W (2x)
2000,66,45,21,68.2%,95-56,62.9%,724-618,53.9%,9-0,100.0%,0,,,,,,,,,,,,F (2x)
1999,42,24,18,57.1%,46-39,54.1%,375-338,52.6%,3-2,60.0%,0,,,,,,,,,,,,W (Cairo)
1998,68,48,20,70.6%,100-54,64.9%,774-593,56.6%,5-8,38.5%,0,,,,,,,,,,,,W (2x)
1997,71,47,24,66.2%,98-55,64.1%,758-574,56.9%,4-4,50.0%,0,,,,,,,,,,,,F (Tokyo)
1996,79,57,22,72.2%,117-53,68.8%,887-638,58.2%,7-6,53.8%,0,,,,,,,,,,,,W (2x)
1995,65,49,16,75.4%,101-40,71.6%,738-482,60.5%,3-2,60.0%,0,,,,,,,,,,,,W (2x)
1994,83,74,9,89.2%,142-29,83.0%,938-474,66.4%,14-3,82.4%,0,,,,,,,,,,,,W (8x)
1993,91,77,14,84.6%,148-36,80.4%,1014-546,65.0%,9-6,60.0%,0,,,,,,,,,,,,W (4x)
1992,83,66,17,79.5%,129-43,75.0%,895-551,61.9%,12-1,92.3%,0,,,,,,,,,,,,W (2x)
1991,76,61,15,80.3%,125-40,75.8%,891-507,63.7%,6-3,66.7%,0,,,,,,,,,,,,W (Washington)
1990,56,41,15,73.2%,85-30,73.9%,597-387,60.7%,4-6,40.0%,0,,,,,,,,,,,,W (2x)
1989,65,51,14,78.5%,105-37,73.9%,755-485,60.9%,3-1,75.0%,0,,,,,,,,,,,,W (2x)
1988,49,33,16,67.3%,71-29,71.0%,524-350,60.0%,3-3,50.0%,0,,,,,,,,,,,,W (Brussels)
1987,28,13,15,46.4%,29-31,48.3%,244-262,48.2%,1-1,50.0%,0,,,,,,,,,,,,QF (3x)
1986,27,16,11,59.3%,30-25,54.5%,238-239,49.9%,5-1,83.3%,0,,,,,,,,,,,,F (Buenos Aires)
Career,1060,764,296,72.1%,1559-715,68.6%,11575-8171,58.6%,101-65,60.8%,0,,,,,,,,,,,,
