Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,11,Hard,52,41,11,78.8%,3,2,1,66.7%,1991,2002,F,0,,,,,,,,,,
Roland Garros,17,Clay,86,72,14,83.7%,9,7,2,77.8%,1986,2002,W,0,,,,,,,,,,
Wimbledon,15,Grass,56,41,15,73.2%,8,4,4,50.0%,1987,2001,F,0,,,,,,,,,,
US Open,16,Hard,71,56,15,78.9%,12,11,1,91.7%,1987,2002,W,0,,,,,,,,,,
Olympics,3,,10,7,3,70.0%,0,0,0,-,1988,2000,SF,0,,,,,,,,,,
Fed Cup,16,,72,50,22,69.4%,11,8,3,72.7%,1986,2002,,0,,,,,,,,,,
Hamburg,15,Clay,52,40,12,76.9%,15,11,4,73.3%,1987,2002,W,0,,,,,,,,,,
Hilton Head,14,Clay,41,28,13,68.3%,5,4,1,80.0%,1995,2000,W,0,,,,,,,,,,
Amelia Island,13,Clay,47,36,11,76.6%,3,3,0,100.0%,1987,2002,W,0,,,,,,,,,,
Rome,12,Clay,42,30,12,71.4%,4,2,2,50.0%,1987,2001,F,0,,,,,,,,,,
Key Biscayne,11,Hard,34,25,9,73.5%,2,0,2,0.0%,1987,1999,W,0,,,,,,,,,,
Barcelona,10,Clay,39,34,5,87.2%,2,2,0,100.0%,1985,1995,W,0,,,,,,,,,,
Berlin,10,Clay,28,18,10,64.3%,10,4,6,40.0%,1988,2002,F,0,,,,,,,,,,
