Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,12,Hard,28,16,12,57.1%,14,8,6,57.1%,2009,2022,R64,23,1.04,8.5%,3.5%,60.6%,72.8%,48.9%,63.4%,38.2%,67.4%,43.5%
Roland Garros,10,Clay,17,7,10,41.2%,4,2,2,50.0%,2009,2021,R128,14,1.06,6.6%,3.6%,60.1%,71.1%,50.4%,62.8%,39.4%,62.9%,33.6%
Wimbledon,9,Grass,17,8,9,47.1%,4,2,2,50.0%,2009,2019,R128,3,0.84,8.5%,4.2%,62.2%,68.3%,44.9%,59.5%,34.1%,50.0%,41.2%
US Open,9,Hard,19,10,9,52.6%,7,4,3,57.1%,2009,2019,R64,14,1.09,10.6%,4.4%,59.2%,75.4%,49.2%,64.7%,38.4%,63.4%,40.3%
Kitzbuhel,4,Clay,7,3,4,42.9%,6,3,3,50.0%,2008,2020,R16,7,0.92,8.5%,5.2%,56.7%,70.2%,47.0%,60.2%,36.6%,60.4%,36.2%
Marseille,4,Hard,9,5,4,55.6%,2,1,1,50.0%,2012,2020,QF,9,1.00,9.9%,3.3%,63.1%,74.8%,47.0%,64.5%,35.4%,66.7%,39.6%
Montpellier,2,Hard,4,2,2,50.0%,0,0,0,-,2019,2020,R32,4,0.97,9.0%,3.0%,60.1%,66.9%,45.0%,58.1%,40.7%,63.6%,46.4%
Metz,4,Hard,13,9,4,69.2%,5,2,3,40.0%,2011,2019,F,13,1.00,8.3%,1.6%,60.9%,70.2%,49.6%,62.2%,37.8%,65.5%,41.1%
Halle,5,Grass,9,4,5,44.4%,3,2,1,66.7%,2009,2019,R32,6,1.05,9.2%,2.8%,66.1%,76.3%,48.1%,66.7%,34.9%,62.5%,48.3%
Munich,13,Clay,21,8,13,38.1%,6,3,3,50.0%,2007,2019,R16,20,0.92,10.4%,3.1%,61.4%,70.3%,47.7%,61.6%,35.3%,57.9%,28.6%
