Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2024 Jiujiang R32,W vs Zheng,1.09,1.68,39.0,2.0,3.6%,64.3%,3.7%,70.4%,46.9%,54.8%
2024 US Open R128,L vs Townsend,1.00,0.76,51.8,2.4,2.5%,57.5%,0.0%,39.5%,46.2%,31.6%
2024 Wimbledon R128,L vs Keys,0.92,0.79,62.2,2.7,0.0%,52.4%,0.0%,66.7%,42.1%,27.8%
2023 BJK Cup Finals F,L vs Stakusic,1.01,0.78,50.3,3.0,0.0%,35.9%,2.6%,57.9%,39.4%,43.3%
2023 Guadalajara QF,L vs Dolehide,0.89,0.89,73.0,36.8,0.0%,51.9%,0.0%,66.7%,36.5%,44.8%
2023 US Open R64,L vs Vondrousova,1.04,0.59,42.5,2.0,0.0%,54.8%,0.0%,41.9%,36.0%,21.7%
2023 US Open R128,W vs Putintseva,1.18,1.07,116.7,7.3,0.0%,41.8%,0.0%,52.9%,43.5%,52.6%
2023 Hamburg R32,W vs Kalieva,0.95,2.33,31.9,2.0,0.0%,72.2%,5.9%,70.6%,78.9%,61.1%
2023 Wimbledon R128,L vs Sorribes Tormo,0.98,0.65,45.8,2.2,0.0%,66.7%,0.0%,30.8%,30.3%,37.5%
2023 Roland Garros R128,L vs Svitolina,0.87,0.51,38.2,2.0,0.0%,50.0%,0.0%,52.4%,19.2%,39.1%
2023 Miami QF,L vs Rybakina,0.92,0.61,43.3,2.3,4.3%,43.5%,0.0%,40.9%,35.7%,40.7%
2023 Indian Wells R32,L vs Muchova,0.91,0.82,73.3,3.7,0.0%,58.0%,0.0%,61.7%,36.0%,36.2%
2023 Indian Wells R64,W vs Brengle,0.92,1.13,61.3,4.0,0.0%,57.8%,0.0%,50.0%,59.2%,53.2%
2023 Abu Dhabi R32,L vs Mertens,0.99,0.40,32.2,2.0,4.3%,34.8%,0.0%,42.9%,19.0%,31.6%
2023 United Cup SF,W vs Sakkari,1.05,1.13,82.9,4.2,1.8%,56.1%,0.0%,62.3%,40.0%,49.0%
2023 United Cup RR,W vs Helgo,1.10,1.13,76.4,3.6,7.4%,53.7%,2.0%,56.9%,46.8%,45.0%
2023 United Cup RR,L vs Swiatek,1.01,0.67,47.0,2.0,0.0%,51.3%,0.0%,52.6%,26.7%,37.9%
2022 BJK Cup Finals RR: CAN vs ITA RR,L vs Fernandez,0.98,0.31,27.9,2.0,5.9%,17.6%,0.0%,26.7%,17.6%,33.3%
2022 Guadalajara 2 R16,L vs Gauff,0.95,0.58,45.9,2.2,0.0%,36.4%,0.0%,44.4%,46.7%,26.7%
2022 US Open R128,L vs Rodina,0.87,0.78,61.4,3.0,0.0%,37.5%,3.3%,63.3%,51.4%,37.8%
2024 (3 matches),,0.99,0.96,52.0,2.3,1.8%,57.3%,1.0%,57.7%,45.0%,37.1%
2023 (14 matches),,0.99,0.89,65.8,2.8,1.3%,51.8%,0.6%,54.4%,39.9%,43.8%
2022 (13 matches),,1.01,0.95,50.3,2.5,0.5%,51.4%,1.5%,51.4%,47.3%,43.4%
2021 (8 matches),,1.06,0.99,78.0,3.3,1.3%,51.1%,1.1%,53.5%,42.1%,47.0%
2020 (5 matches),,1.10,1.05,60.5,3.3,1.0%,50.7%,0.5%,49.0%,44.5%,51.5%
Career (125 matches),,1.02,1.04,59.7,2.7,0.6%,53.1%,0.6%,53.7%,46.7%,48.6%
