Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2024 Jiangxi R32,W vs Zheng,77.8%,59.2%,1.6%,0/1,2.34,4.8%,75.7%,53.6%,2.7%,2.33,7.1%,91.3%,66.7%,0.0%,2.34,0.0%
2023 BJK Cup Finals RR,L vs Stakusic,84.1%,47.2%,3.2%,2/0,2.50,3.2%,82.9%,47.1%,0.0%,2.53,4.3%,90.5%,47.4%,9.5%,2.39,0.0%
2023 Guadalajara QF,L vs Dolehide,73.6%,42.7%,2.5%,0/3,2.69,23.2%,79.0%,37.5%,2.5%,2.58,24.1%,86.2%,56.0%,3.4%,3.24,18.2%
2023 Guadalajara R64,W vs Schuurs,63.0%,75.9%,2.2%,1/0,2.34,15.0%,68.2%,80.0%,0.0%,2.38,30.0%,93.3%,71.4%,6.7%,2.31,0.0%
2023 US Open R128,W vs Putintseva,84.0%,54.0%,4.2%,1/4,2.58,1.1%,86.7%,52.6%,4.4%,2.62,1.6%,84.6%,59.1%,3.8%,2.51,0.0%
2023 Hamburg R32,W vs Kalieva,73.0%,70.4%,2.7%,0/1,2.21,0.0%,78.6%,81.8%,7.1%,1.87,0.0%,100.0%,62.5%,0.0%,2.53,0.0%
2023 Roland Garros R128,L vs Svitolina,81.6%,35.0%,4.1%,1/1,2.54,0.0%,74.3%,34.6%,5.7%,2.48,0.0%,100.0%,35.7%,0.0%,2.63,0.0%
2023 Miami QF,L vs Rybakina,61.8%,55.9%,12.7%,3/4,2.63,2.9%,53.3%,62.5%,6.7%,2.46,4.3%,78.3%,50.0%,21.7%,2.99,0.0%
2023 Indian Wells R32,L vs Muchova,67.0%,43.1%,1.0%,1/0,2.67,4.2%,62.1%,41.7%,1.7%,2.67,6.3%,90.6%,44.8%,0.0%,2.67,0.0%
2023 Indian Wells R64,W vs Brengle,85.4%,59.8%,0.0%,0/0,2.74,2.7%,90.4%,60.6%,0.0%,2.63,4.1%,88.9%,56.3%,0.0%,2.94,0.0%
2023 Abu Dhabi R32,L vs Mertens,70.0%,32.1%,5.0%,2/0,2.44,10.8%,64.0%,31.3%,4.0%,2.45,12.0%,85.7%,33.3%,7.1%,2.43,8.3%
2023 United Cup SF,W vs Sakkari,68.9%,54.8%,1.9%,1/1,2.42,8.5%,60.4%,50.0%,0.0%,2.44,12.9%,89.1%,58.5%,4.3%,2.38,0.0%
2023 United Cup RR,L vs Swiatek,66.1%,46.2%,13.6%,3/5,2.59,3.1%,65.9%,44.8%,11.4%,2.44,4.4%,71.4%,50.0%,21.4%,2.94,0.0%
2023 United Cup RR,W vs Helgo,77.9%,49.5%,2.5%,2/1,2.49,10.7%,80.3%,49.1%,0.0%,2.51,14.0%,90.5%,50.0%,7.1%,2.44,0.0%
2022 BJK Cup Finals RR,L vs Fernandez,65.6%,28.6%,12.5%,3/1,2.83,10.3%,63.2%,25.0%,10.5%,3.05,12.5%,81.8%,33.3%,18.2%,1.80,0.0%
2022 Guadalajara R16,L vs Gauff,58.3%,45.7%,3.3%,1/1,2.25,0.0%,54.1%,45.0%,5.4%,2.31,0.0%,88.2%,46.7%,0.0%,2.10,0.0%
2022 US Open R128,L vs Rodina,83.8%,50.0%,2.7%,1/1,2.43,2.3%,83.9%,51.1%,0.0%,2.30,4.8%,93.8%,46.7%,12.5%,2.56,0.0%
2022 Budapest QF,L vs Bondar,77.4%,53.7%,3.8%,1/1,2.10,0.0%,71.4%,40.0%,3.6%,2.01,0.0%,87.5%,66.7%,4.2%,2.34,0.0%
2022 Budapest R32,W vs Szabanin,75.4%,63.0%,6.6%,4/0,2.65,4.4%,85.3%,65.5%,5.9%,2.48,6.1%,85.0%,58.8%,10.0%,3.13,0.0%
2022 Bad Homburg R32,L vs Andreescu,75.6%,47.1%,13.3%,1/5,2.52,0.0%,71.0%,50.0%,6.5%,2.38,0.0%,92.3%,41.7%,30.8%,2.79,0.0%
Career (37 matches),,76.3%,52.1%,4.6%,49.2%,2.49,4.4%,78.0%,51.0%,3.5%,2.45,5.7%,88.2%,54.3%,7.9%,2.58,1.3%
