Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2024 Jiangxi R32,W vs Zheng,20.0%,32.7%,61.9%,24.3%,43.2%,64.3%,40.0%,40.9%,33.3%,12.5%,12.5%,57.1%,12.5%,62.5%,-,9
2023 BJK Cup Finals RR,L vs Stakusic,11.7%,14.3%,42.9%,11.3%,15.1%,51.1%,12.0%,39.3%,37.5%,15.8%,15.8%,18.8%,11.1%,30.0%,50.0%,25
2023 Guadalajara QF,L vs Dolehide,28.2%,35.9%,46.4%,27.5%,36.3%,46.6%,10.3%,72.5%,75.0%,38.9%,44.4%,45.5%,7.7%,80.0%,-,158
2023 Guadalajara R64,W vs Schuurs,34.3%,54.3%,65.0%,41.2%,58.8%,70.0%,37.5%,55.6%,100.0%,33.3%,60.0%,60.0%,66.7%,66.7%,-,38
2023 US Open R128,W vs Putintseva,7.5%,13.2%,45.7%,7.4%,13.2%,41.3%,10.0%,44.7%,66.7%,9.4%,15.6%,55.2%,0.0%,50.0%,100.0%,-28
2023 Hamburg R32,W vs Kalieva,31.4%,37.1%,66.7%,33.3%,40.0%,30.0%,33.3%,55.6%,-,35.3%,41.2%,100.0%,0.0%,11.1%,-,77
2023 Roland Garros R128,L vs Svitolina,13.3%,17.8%,48.6%,18.5%,22.2%,54.5%,38.5%,64.3%,100.0%,7.1%,14.3%,38.5%,16.7%,62.5%,100.0%,-55
2023 Miami QF,L vs Rybakina,20.0%,26.7%,29.4%,20.7%,31.0%,34.8%,50.0%,29.4%,20.0%,21.4%,21.4%,18.2%,12.5%,50.0%,0.0%,47
2023 Indian Wells R32,L vs Muchova,21.6%,28.9%,51.4%,26.2%,32.3%,50.0%,10.7%,62.2%,55.6%,14.3%,25.0%,54.2%,21.4%,64.3%,100.0%,25
2023 Indian Wells R64,W vs Brengle,8.2%,12.9%,52.7%,9.3%,16.7%,57.1%,51.9%,33.3%,0.0%,7.4%,7.4%,44.0%,16.7%,66.7%,75.0%,-44
2023 Abu Dhabi R32,L vs Mertens,9.1%,15.9%,35.1%,10.7%,14.3%,36.0%,33.3%,25.0%,25.0%,7.7%,23.1%,33.3%,12.5%,20.0%,-,-47
2023 United Cup SF,W vs Sakkari,12.7%,23.6%,54.3%,17.3%,29.3%,59.7%,46.9%,27.9%,0.0%,3.0%,12.1%,43.8%,7.1%,73.7%,80.0%,-86
2023 United Cup RR,L vs Swiatek,10.4%,15.6%,49.2%,10.0%,16.0%,53.3%,43.5%,55.6%,60.0%,13.0%,17.4%,40.0%,21.4%,55.6%,66.7%,9
2023 United Cup RR,W vs Helgo,21.9%,31.4%,46.7%,21.9%,31.5%,50.9%,28.6%,68.4%,100.0%,28.0%,40.0%,33.3%,0.0%,64.3%,83.3%,133
2022 BJK Cup Finals RR,L vs Fernandez,9.4%,12.5%,13.8%,11.1%,14.8%,16.7%,16.7%,46.7%,60.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-,-119
2022 Guadalajara R16,L vs Gauff,25.0%,35.0%,23.1%,26.9%,42.3%,31.6%,7.1%,50.0%,0.0%,30.0%,30.0%,0.0%,0.0%,33.3%,-,128
2022 US Open R128,L vs Rodina,21.0%,27.4%,40.9%,33.3%,45.5%,45.5%,18.2%,63.6%,66.7%,8.3%,8.3%,36.4%,0.0%,10.0%,0.0%,-39
2022 Budapest QF,L vs Bondar,6.0%,13.4%,45.8%,4.4%,15.6%,46.5%,9.5%,83.3%,100.0%,11.1%,11.1%,43.8%,0.0%,55.6%,57.1%,-14
2022 Budapest R32,W vs Szabanin,23.1%,29.2%,51.1%,26.7%,35.6%,51.5%,23.8%,62.5%,0.0%,20.0%,20.0%,50.0%,37.5%,0.0%,-,54
2022 Bad Homburg R32,L vs Andreescu,20.3%,20.3%,27.9%,17.6%,17.6%,25.0%,5.6%,37.5%,60.0%,28.6%,28.6%,33.3%,0.0%,60.0%,66.7%,89
Career (37 matches),,15.5%,22.3%,46.3%,17.2%,25.3%,47.9%,21.1%,59.1%,66.0%,14.1%,18.8%,42.6%,7.6%,49.9%,56.1%,20
