Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,6,Hard,16,10,6,62.5%,2,1,1,50.0%,2019,2024,R64,16,1.06,1.7%,5.7%,65.6%,62.2%,44.9%,56.2%,46.3%,62.3%,54.5%
Roland Garros,7,Clay,23,16,7,69.6%,3,2,1,66.7%,2018,2024,SF,20,1.07,0.5%,4.3%,68.3%,59.6%,44.3%,54.7%,48.4%,54.5%,51.0%
Wimbledon,7,Grass,8,1,7,12.5%,1,0,1,0.0%,2017,2024,R128,5,0.69,1.0%,3.8%,67.1%,58.6%,42.7%,53.4%,32.2%,57.8%,18.8%
US Open,8,Hard,13,5,8,38.5%,2,2,0,100.0%,2017,2025,R64,11,0.83,0.6%,7.1%,63.3%,54.3%,41.7%,49.7%,41.6%,50.0%,40.0%
Fed Cup,2,,3,1,2,33.3%,0,0,0,-,2017,2019,,3,0.93,0.8%,6.3%,61.7%,53.8%,40.2%,48.6%,47.9%,36.1%,48.6%
Miami,5,Hard,8,3,5,37.5%,1,0,1,0.0%,2021,2026,QF,8,0.91,1.0%,3.8%,70.4%,56.6%,45.6%,53.4%,42.5%,60.0%,52.8%
Indian Wells,4,Hard,8,4,4,50.0%,1,0,1,0.0%,2021,2026,R32,8,1.01,1.0%,5.5%,68.4%,61.3%,43.9%,55.8%,44.5%,64.6%,42.3%
Guadalajara,3,Hard,8,5,3,62.5%,2,0,2,0.0%,2023,2025,QF,8,1.09,1.8%,3.7%,69.3%,61.0%,48.0%,57.0%,46.8%,56.3%,49.4%
Guadalajara 125,2,Hard,5,3,2,60.0%,0,0,0,-,2024,2025,QF,5,1.03,1.8%,10.9%,58.0%,65.0%,37.1%,53.3%,48.0%,44.1%,50.0%
Cincinnati,4,Hard,8,4,4,50.0%,3,2,1,66.7%,2022,2025,R32,8,0.99,0.9%,6.1%,65.1%,60.4%,49.6%,56.6%,43.0%,61.0%,47.8%
Bastad 125,2,Clay,7,6,1,85.7%,3,2,1,66.7%,2024,2025,W,7,1.06,2.3%,5.1%,69.7%,62.0%,50.6%,58.5%,43.8%,63.1%,51.7%
