Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2022 US Open R128,L vs Norrie,17.7%,30.4%,42.3%,24.4%,34.3%,54.3%,56.5%,49.4%,36.4%,84.6%,100.0%,6.5%,16.1%,31.0%,-68
2022 Canada R64,L vs Nishioka,35.2%,50.0%,37.5%,42.8%,50.0%,70.6%,47.1%,62.1%,66.7%,68.4%,25.0%,11.8%,17.6%,26.7%,-8
2022 Washington R32,L vs Rune,30.2%,43.4%,48.3%,36.2%,39.4%,51.5%,50.0%,49.1%,46.2%,45.0%,33.3%,25.0%,50.0%,44.4%,47
2022 Washington R64,W vs Gojowczyk,45.2%,53.2%,53.3%,49.4%,55.6%,66.7%,50.0%,62.8%,70.6%,78.9%,-,36.4%,40.9%,57.1%,154
2022 Geneva R16,L vs Ruud,14.6%,29.3%,35.5%,22.2%,21.7%,43.5%,38.9%,35.2%,72.7%,58.3%,80.0%,7.1%,14.3%,30.8%,-57
2022 Monte Carlo R64,L vs Musetti,12.9%,30.7%,51.3%,23.1%,20.0%,44.4%,63.9%,42.9%,56.5%,72.7%,60.0%,8.7%,23.9%,40.5%,-39
2022 Acapulco R32,L vs Medvedev,18.2%,29.9%,40.0%,24.3%,32.4%,51.4%,44.0%,45.1%,77.8%,63.2%,50.0%,5.4%,10.8%,37.1%,-63
2021 Cincinnati QF,L vs Rublev,30.3%,42.7%,49.1%,36.9%,46.9%,63.3%,50.0%,58.8%,42.3%,52.2%,50.0%,12.1%,21.2%,48.3%,-8
2021 Gstaad QF,L vs Ruud,35.2%,45.1%,54.3%,42.7%,54.0%,72.0%,87.0%,67.8%,68.0%,68.0%,50.0%,17.9%,17.9%,21.7%,16
2021 Queens Club R32,L vs Murray,20.5%,38.6%,48.5%,31.4%,22.7%,50.0%,64.7%,44.5%,46.2%,77.8%,50.0%,20.0%,30.0%,31.3%,59
2021 Madrid R32,L vs Tsitsipas,19.0%,26.2%,29.0%,24.0%,21.7%,34.8%,38.9%,30.9%,33.3%,100.0%,100.0%,18.8%,18.8%,15.4%,56
2021 Madrid R64,W vs Basilashvili,41.1%,47.9%,44.1%,42.6%,56.1%,58.5%,33.3%,58.8%,61.9%,85.0%,75.0%,30.4%,47.8%,56.3%,122
2021 Acapulco R32,L vs Tsitsipas,23.0%,26.2%,42.1%,24.8%,43.3%,46.7%,41.2%,47.0%,35.3%,46.2%,50.0%,4.5%,9.1%,42.9%,-82
2021 Australian Open R128,L vs Gerasimov,24.3%,38.8%,46.7%,29.7%,41.5%,58.5%,41.7%,51.5%,60.0%,54.8%,40.0%,6.4%,23.4%,52.3%,-71
2020 Dubai R32,W vs Cilic,31.4%,43.2%,43.5%,37.1%,42.9%,58.7%,50.0%,53.7%,63.3%,69.7%,57.1%,23.3%,32.6%,36.4%,82
2020 Auckland F,L vs Humbert,37.2%,50.4%,43.8%,41.5%,53.0%,65.2%,48.4%,60.9%,69.0%,59.5%,42.9%,19.2%,34.6%,40.5%,3
2020 Auckland SF,W vs Hurkacz,32.1%,45.3%,48.4%,40.1%,47.2%,67.9%,64.3%,63.2%,81.0%,50.0%,50.0%,20.9%,27.9%,35.3%,69
2020 Auckland R32,W vs Sinner,28.3%,44.3%,49.3%,37.2%,36.4%,57.6%,52.4%,50.6%,63.3%,72.2%,71.4%,17.1%,25.7%,44.8%,47
2020 ATP Cup RR,W vs Jarry,30.5%,39.0%,53.1%,36.2%,48.0%,60.0%,61.5%,60.0%,56.5%,48.1%,20.0%,17.4%,23.9%,47.4%,42
2019 Shanghai R64,W vs Cecchinato,46.3%,63.0%,53.6%,50.9%,62.5%,78.1%,75.0%,70.3%,75.0%,85.0%,-,23.8%,42.9%,37.5%,-10
Career (61 matches),,29.5%,43.5%,48.2%,36.1%,44.1%,62.5%,56.1%,56.9%,53.1%,61.8%,56.9%,15.9%,26.7%,41.5%,33
