Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2022 US Open R128,L vs Norrie,22.1%,58.8%,20.8%,64.5%,3.1%,7.7%,0.0%,17.3%,37.5%,4.3%,12.5%,127,101
2022 Canada R64,L vs Nishioka,16.3%,71.4%,21.3%,65.4%,2.9%,7.7%,0.0%,15.8%,12.5%,2.9%,28.6%,56,77
2022 Washington R32,L vs Rune,17.4%,62.5%,13.4%,62.5%,16.7%,30.0%,0.0%,9.3%,28.6%,3.5%,0.0%,35,56
2022 Washington R64,W vs Gojowczyk,3.6%,100.0%,5.4%,71.4%,4.2%,0.0%,0.0%,13.5%,33.3%,0.8%,0.0%,22,44
2022 Geneva R16,L vs Ruud,12.5%,40.0%,12.4%,36.4%,11.9%,21.4%,0.0%,11.4%,33.3%,4.8%,50.0%,160,125
2022 Monte Carlo R64,L vs Musetti,15.0%,80.0%,25.9%,77.6%,13.3%,20.8%,0.0%,10.8%,30.8%,5.6%,40.0%,124,85
2022 Acapulco R32,L vs Medvedev,37.0%,59.3%,36.2%,54.9%,4.2%,20.0%,0.0%,2.6%,11.8%,2.4%,20.0%,54,33
2021 Cincinnati QF,L vs Rublev,7.5%,66.7%,10.4%,70.6%,6.9%,12.0%,0.0%,18.8%,44.4%,6.8%,0.0%,81,59
2021 Gstaad QF,L vs Ruud,26.7%,75.0%,17.8%,77.4%,8.3%,0.0%,0.0%,12.2%,50.0%,1.1%,0.0%,74,146
2021 Queens Club R32,L vs Murray,26.2%,72.7%,20.8%,70.0%,12.0%,0.0%,0.0%,7.7%,16.7%,9.1%,10.0%,186,138
2021 Madrid R32,L vs Tsitsipas,12.2%,80.0%,14.9%,61.5%,7.3%,5.0%,0.0%,2.4%,9.1%,3.0%,0.0%,72,40
2021 Madrid R64,W vs Basilashvili,0.0%,-,2.9%,50.0%,8.8%,27.3%,0.0%,17.9%,0.0%,9.1%,35.7%,33,76
2021 Acapulco R32,L vs Tsitsipas,0.0%,-,7.2%,62.5%,1.8%,0.0%,0.0%,9.4%,0.0%,0.0%,-,28,57
2021 Australian Open R128,L vs Gerasimov,6.1%,50.0%,14.1%,68.2%,12.8%,24.5%,0.0%,16.7%,32.4%,4.7%,20.8%,71,117
2020 Dubai R32,W vs Cilic,4.5%,80.0%,7.1%,70.6%,17.2%,14.3%,0.0%,18.2%,35.7%,8.5%,18.2%,79,104
2020 Auckland F,L vs Humbert,17.3%,61.1%,16.2%,59.5%,3.6%,0.0%,0.0%,19.0%,38.9%,2.4%,14.3%,3,41
2020 Auckland SF,W vs Hurkacz,24.5%,78.3%,27.9%,77.4%,7.0%,33.3%,0.0%,24.0%,50.0%,2.1%,0.0%,72,80
2020 Auckland R32,W vs Sinner,9.5%,66.7%,12.5%,64.0%,23.2%,26.7%,0.0%,13.2%,20.0%,3.9%,0.0%,38,49
2020 ATP Cup RR,W vs Jarry,10.9%,60.0%,7.0%,71.4%,4.0%,0.0%,0.0%,14.8%,38.9%,3.3%,0.0%,-27,-28
2019 Shanghai R64,W vs Cecchinato,6.8%,66.7%,4.8%,66.7%,22.2%,20.0%,0.0%,25.0%,45.5%,3.0%,25.0%,-3,-15
Career (61 matches),,9.5%,68.2%,13.7%,68.9%,11.2%,16.3%,4.1%,14.5%,32.4%,4.0%,23.2%,61,69
