Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2016,14,6,8,42.9%,14-19,42.4%,159-157,50.3%,0-4,0.0%,0,,,,,,,,,,,,F (Surbiton $50K)
2015,43,23,20,53.5%,53-45,54.1%,466-447,51.0%,9-2,81.8%,0,,,,,,,,,,,,F (Granby $50K)
2014,39,24,15,61.5%,52-41,55.9%,445-427,51.0%,2-4,33.3%,0,,,,,,,,,,,,W (2x)
2013,22,10,12,45.5%,24-26,48.0%,225-231,49.3%,3-2,60.0%,0,,,,,,,,,,,,F (Trabzon 50K)
2012,20,9,11,45.0%,20-24,45.5%,194-216,47.3%,4-2,66.7%,0,,,,,,,,,,,,QF (2x)
2011,52,35,17,67.3%,71-43,62.3%,578-471,55.1%,9-3,75.0%,0,,,,,,,,,,,,F (5x)
2010,44,28,16,63.6%,62-37,62.6%,491-409,54.6%,6-4,60.0%,0,,,,,,,,,,,,SF (4x)
2009,34,21,13,61.8%,46-30,60.5%,366-311,54.1%,0-1,0.0%,0,,,,,,,,,,,,F (Helsinki 25K)
2008,44,29,15,65.9%,59-40,59.6%,505-417,54.8%,4-9,30.8%,0,,,,,,,,,,,,F (3x)
2007,30,17,13,56.7%,37-32,53.6%,315-302,51.1%,2-2,50.0%,0,,,,,,,,,,,,F (2x)
2006,23,18,5,78.3%,32-13,71.1%,246-180,57.7%,3-2,60.0%,0,,,,,,,,,,,,W (2x)
2005,21,16,5,76.2%,33-13,71.7%,235-185,56.0%,3-0,100.0%,0,,,,,,,,,,,,W (2x)
2004,29,16,13,55.2%,36-34,51.4%,342-311,52.4%,0-5,0.0%,0,,,,,,,,,,,,W (Catania 25K)
2003,10,4,6,40.0%,10-13,43.5%,109-110,49.8%,0-1,0.0%,0,,,,,,,,,,,,SF (Saint Gaudens 75K)
2002,3,2,1,66.7%,4-3,57.1%,34-29,54.0%,0-1,0.0%,0,,,,,,,,,,,,QF (Poitiers 50K)
2001,1,0,1,0.0%,0-2,0.0%,5-12,29.4%,0-0,-,0,,,,,,,,,,,,R32 (Bronx NY 50K)
2000,30,17,13,56.7%,37-31,54.4%,341-300,53.2%,2-7,22.2%,0,,,,,,,,,,,,W (Mont-De-Marsan 25K)
1999,23,15,8,65.2%,29-19,60.4%,221-195,53.1%,3-0,100.0%,0,,,,,,,,,,,,F (2x)
1998,27,20,7,74.1%,38-18,67.9%,272-201,57.5%,1-2,33.3%,0,,,,,,,,,,,,W (Le Havre 10K)
1997,9,5,4,55.6%,12-8,60.0%,96-75,56.1%,0-2,0.0%,0,,,,,,,,,,,,SF (St Raphael 10K)
Career,518,315,203,60.8%,669-491,57.7%,5645-4986,53.1%,51-53,49.0%,0,,,,,,,,,,,,
