Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2016 Ilkley $50K R32,L vs Martic,0.90,0.88,73.6,36.2,1.9%,53.7%,0.0%,64.6%,40.4%,40.4%
2016 Surbiton $50K F,L vs Melnikova,0.89,0.80,63.9,2.4,2.6%,46.2%,0.0%,57.1%,47.1%,40.0%
2016 Tunis $50K R32,W vs Rus,1.09,2.14,34.9,2.0,8.3%,70.8%,0.0%,78.3%,55.2%,44.0%
2016 Charlottesville VA $50K R32,L vs Tatishvili,0.91,0.84,66.4,2.3,2.6%,47.4%,0.0%,37.1%,48.6%,57.6%
2016 Dothan AL $50K R32,L vs Stewart,0.92,0.75,57.5,2.3,0.0%,40.0%,0.0%,48.6%,46.2%,44.7%
2016 Gonesse $10K R32,W vs Lechemia,1.09,1.73,36.6,2.1,0.0%,69.6%,9.1%,59.1%,52.9%,60.6%
2016 Australian Open Q2,L vs Hogenkamp,1.01,0.66,50.0,2.2,3.3%,40.0%,0.0%,51.9%,21.4%,52.0%
2016 Australian Open Q1,W vs Jaksic,1.08,1.83,38.6,2.4,0.0%,57.9%,5.6%,72.2%,53.3%,66.7%
2015 Equeurdreville $25K QF,L vs Ianchuk,0.83,0.67,43.7,2.3,0.0%,53.8%,9.1%,45.5%,41.0%,39.5%
2015 Equeurdreville $25K R16,W vs Albie,1.06,1.40,55.3,4.0,6.8%,81.8%,0.0%,56.8%,40.8%,37.2%
2015 Equeurdreville $25K R32,W vs Salas,0.94,1.12,77.5,6.0,2.0%,51.0%,6.5%,52.2%,60.0%,54.8%
2015 Joue Les Tours $50K SF,L vs Fridman,0.74,0.44,30.9,2.0,4.0%,48.0%,0.0%,47.8%,33.3%,28.6%
2015 Joue Les Tours $50K QF,W vs Eraydin,1.22,1.24,75.0,18.4,0.0%,44.2%,2.8%,63.9%,47.6%,47.5%
2015 Joue Les Tours $50K R32,W vs Honcova,1.05,1.53,41.9,2.2,0.0%,67.7%,0.0%,55.2%,46.9%,64.5%
2015 Las Vegas NV $50K R32,L vs Oprandi,1.06,0.55,48.2,2.2,0.0%,55.0%,5.3%,50.0%,24.0%,25.0%
2015 Saint Malo $50K R32,L vs Vikhlyantseva,0.97,0.89,73.6,10.2,1.5%,60.0%,3.4%,47.5%,35.3%,49.2%
2015 Biarritz $100K QF,L vs Oprandi,0.94,0.55,40.1,2.3,4.2%,45.8%,0.0%,30.0%,39.1%,31.6%
2015 Biarritz $100K R16,W vs Dominguez Lino,1.10,1.31,62.0,3.4,2.6%,51.3%,8.3%,72.2%,45.2%,46.3%
2015 US Open Q1,L vs Hsieh,1.08,0.89,82.9,3.2,0.0%,39.7%,3.7%,57.4%,48.9%,36.4%
2015 Washington Q1,L vs Broady,0.99,0.48,49.9,2.1,3.1%,56.3%,3.6%,57.1%,25.9%,16.0%
2016 (8 matches),,0.96,1.00,55.9,2.5,2.3%,51.5%,1.2%,57.2%,45.5%,49.8%
2015 (20 matches),,1.01,0.98,56.1,2.7,2.7%,55.9%,3.6%,54.1%,43.2%,44.0%
2014 (13 matches),,1.03,1.07,59.9,2.8,3.0%,59.3%,1.5%,54.7%,46.2%,43.3%
2013 (31 matches),,0.98,0.95,53.5,2.6,2.8%,56.0%,2.6%,53.7%,45.3%,41.9%
2012 (19 matches),,1.00,0.88,51.9,2.6,-,51.0%,-,50.9%,41.7%,43.9%
Career (98 matches),,1.00,0.95,54.4,2.6,2.8%,54.6%,2.6%,53.9%,43.5%,43.4%
