Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2019 Roland Garros R128,L vs Sabalenka,60.3%,46.8%,7.7%,3/3,2.49,0.0%,67.3%,45.7%,5.8%,2.50,0.0%,66.7%,50.0%,16.7%,2.46,0.0%
2019 Rome R64,W vs Sasnovich,73.3%,59.1%,6.7%,2/2,2.25,9.5%,68.4%,42.3%,2.6%,2.20,11.5%,94.7%,83.3%,15.8%,2.34,6.3%
2019 Madrid R64,L vs Osaka,66.7%,58.3%,18.1%,5/8,2.51,1.5%,60.4%,51.7%,14.6%,2.51,0.0%,90.5%,68.4%,28.6%,2.52,5.9%
2019 Miami R128,L vs Azarenka,61.6%,58.5%,11.6%,7/3,2.40,2.3%,58.0%,58.6%,12.0%,2.19,1.7%,77.4%,58.3%,12.9%,2.84,3.7%
2019 Indian Wells R64,L vs Andreescu,68.5%,35.1%,7.4%,2/2,2.28,0.0%,67.6%,34.8%,8.8%,2.36,0.0%,93.3%,35.7%,6.7%,2.12,0.0%
2018 Wuhan QF,L vs Sabalenka,65.0%,53.8%,8.3%,4/1,2.84,0.0%,54.1%,45.0%,8.1%,3.09,0.0%,86.4%,63.2%,9.1%,2.52,0.0%
2018 Wuhan R32,W vs Halep,79.2%,71.1%,2.1%,0/1,2.87,0.0%,88.9%,70.8%,0.0%,2.88,0.0%,82.4%,71.4%,5.9%,2.84,0.0%
2018 Tokyo R16,L vs Osaka,62.9%,31.8%,5.7%,1/1,2.46,2.9%,52.4%,27.3%,9.5%,2.36,4.3%,78.6%,36.4%,0.0%,2.68,0.0%
2018 US Open R16,L vs Keys,62.5%,40.0%,20.0%,7/1,2.55,1.9%,54.2%,30.8%,16.7%,2.46,2.4%,75.0%,50.0%,25.0%,2.89,0.0%
2018 Wimbledon QF,L vs Ostapenko,70.4%,42.1%,29.6%,9/7,2.66,3.8%,75.9%,45.5%,20.7%,2.54,6.3%,76.2%,37.5%,47.6%,2.85,0.0%
2018 Wimbledon R16,W vs Hsieh,83.6%,78.3%,3.6%,2/0,2.48,19.5%,81.1%,80.0%,5.4%,2.59,22.9%,94.1%,75.0%,0.0%,1.83,0.0%
2018 Strasbourg F,L vs Pavlyuchenkova,72.0%,49.5%,10.6%,4/10,2.69,4.2%,70.7%,49.1%,6.7%,2.80,3.0%,80.8%,50.0%,17.3%,2.40,7.1%
2018 Budapest F,L vs Van Uytvanck,64.1%,51.5%,2.9%,1/2,2.72,12.1%,61.0%,44.7%,1.3%,2.64,15.1%,86.4%,68.4%,9.1%,3.05,0.0%
2017 Wuhan R16,L vs Garcia,57.6%,55.3%,12.1%,8/0,2.49,4.4%,61.5%,54.2%,12.8%,2.60,7.5%,66.7%,57.1%,14.3%,2.33,0.0%
2017 US Open R64,L vs Stephens,77.4%,52.4%,2.8%,3/0,2.63,7.1%,78.9%,45.0%,1.3%,2.62,9.9%,78.6%,72.7%,7.1%,2.66,0.0%
2017 Wimbledon R32,L vs Konjuh,67.0%,56.5%,17.5%,5/13,2.49,6.0%,63.9%,53.8%,14.8%,2.25,9.3%,78.9%,60.0%,23.7%,2.94,0.0%
2017 Birmingham R32,L vs Safarova,58.7%,48.4%,6.4%,4/3,2.97,1.5%,55.6%,47.5%,8.3%,2.96,2.1%,75.0%,50.0%,3.1%,2.98,0.0%
2017 Madrid R32,L vs Dodin,49.1%,64.3%,31.6%,7/11,2.67,0.0%,55.3%,57.1%,26.3%,2.69,0.0%,46.7%,85.7%,53.3%,2.64,0.0%
2017 Miami R16,L vs Safarova,62.3%,54.2%,10.4%,1/7,2.76,1.8%,62.5%,50.0%,6.3%,2.79,2.6%,85.7%,61.1%,23.8%,2.68,0.0%
2017 Miami R64,W vs Cepede Royg,78.1%,54.4%,0.0%,0/0,2.55,4.4%,77.5%,58.1%,0.0%,2.16,9.1%,96.3%,50.0%,0.0%,2.92,0.0%
Career (64 matches),,67.6%,55.7%,8.2%,54.6%,2.55,4.5%,67.2%,53.5%,6.3%,2.51,6.0%,80.6%,59.5%,13.4%,2.65,1.4%
