Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2022-08-08),1384,2,,,,,,,,,,,,
2020,1040,9,,,,,,,,,,,,
2019,1010,9,,,,,,,,,,,,
2018,381,43,,,,,,,,,409,55,,
2018,381,43,,,,,,,,,409,55,,
2017,290,170,,,,,,,,,1250,15,,
2016,351,131,,,,,,,,,,,,
2015,75,681,,,,,,,,,295,232,,
2014,206,236,,,,,,,,,505,110,,
2013,194,258,,,,,,,,,639,75,,
2012,171,299,,,,,,,,,110,647,,
2011,140,381,,,,,,,,,171,416,,
2010,147,372,,,,,,,,,115,719,,
2009,216,219,,,,,,,,,244,266,,
2008,179,232,,,,,,,,,126,462,,
2007,198,215,,,,,,,,,253,219,,
2006,317,118,,,,,,,,,289,187,,
2005,602,34,,,,,,,,,375,119,,
2004,326,100,,,,,,,,,246,186,,
2003,567,33,,,,,,,,,681,43,,
2002,,,,,,,,,,,1458,2,,
2001,772,13,,,,,,,,,1028,14,,
