Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2024-07-01),1232,7,,,,,,,,,529,123,,
2023,896,25,401,1117,386,1117,386,1073,,,,,,
2022,427,106,364,1164,360,1148,346,1113,,,,,,
2021,521,88,,,,,,,,,,,,
2020,455,94,,,,,,,,,329,235,,
2019,422,103,,,,,,,,,290,253,,
2018,368,96,,,,,,,,,204,339,,
2017,394,96,,,,,,,,,259,267,,
2016,485,63,,,,,,,,,387,130,,
2015,489,57,,,,,,,,,618,54,,
2014,949,10,,,,,,,,,993,13,,
2013,804,22,,,,,,,,,984,17,,
2012,,,,,,,,,,,841,25,,
