Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2008,34,22,12,64.7%,50-29,63.3%,398-330,54.7%,4-4,50.0%,0,,,,,,,,,,,,W (Shrewsbury 75K)
2006,7,5,2,71.4%,10-5,66.7%,75-55,57.7%,0-1,0.0%,0,,,,,,,,,,,,W (Joue-Les-Tours 50K)
2005,5,5,0,100.0%,10-1,90.9%,68-39,63.6%,0-0,-,0,,,,,,,,,,,,W (Dinan 75K)
2004,11,6,5,54.5%,14-11,56.0%,119-104,53.4%,0-1,0.0%,0,,,,,,,,,,,,SF (Vittel 50K)
2003,49,32,17,65.3%,70-42,62.5%,577-495,53.8%,5-5,50.0%,0,,,,,,,,,,,,W (Latina 50K)
2002,9,3,6,33.3%,7-11,38.9%,74-94,44.0%,1-1,50.0%,0,,,,,,,,,,,,QF (Dinan 50K)
2001,29,20,9,69.0%,42-21,66.7%,329-240,57.8%,2-1,66.7%,0,,,,,,,,,,,,W (Felixstowe 25K)
2000,15,10,5,66.7%,13-5,72.2%,92-68,57.5%,0-0,-,0,,,,,,,,,,,,W (Felixstowe 25K)
1999,18,13,5,72.2%,27-9,75.0%,195-114,63.1%,1-2,33.3%,0,,,,,,,,,,,,W (2x)
1998,6,2,4,33.3%,7-8,46.7%,68-71,48.9%,0-0,-,0,,,,,,,,,,,,R16 (2x)
Career,183,118,65,64.5%,250-142,63.8%,1995-1610,55.3%,13-15,46.4%,0,,,,,,,,,,,,
