Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,11,5,6,45.5%,13-13,50.0%,127-123,50.8%,3-1,75.0%,9,81.0%,14.2%,6.6%,5.0%,59.8%,71.8%,53.1%,64.3%,32.7%,48.6%,0.92
Clay,7,3,4,42.9%,9-10,47.4%,88-89,49.7%,0-0,-,6,72.0%,30.1%,5.9%,4.8%,57.1%,70.5%,47.5%,60.6%,41.4%,51.2%,1.05
Grand Slams,2,0,2,0.0%,2-6,25.0%,38-42,47.5%,0-1,0.0%,2,82.1%,15.0%,6.0%,6.7%,58.3%,71.4%,53.3%,63.9%,34.6%,48.8%,0.96
Masters,2,1,1,50.0%,2-2,50.0%,19-23,45.2%,1-0,100.0%,2,82.6%,4.3%,5.1%,6.6%,52.6%,76.4%,58.5%,67.9%,25.0%,46.8%,0.78
Other Tours,8,4,4,50.0%,11-10,52.4%,101-95,51.5%,0-0,-,8,74.7%,27.8%,5.5%,4.0%,58.4%,70.9%,48.2%,61.5%,39.4%,50.7%,1.02
Best of 5,5,1,4,20.0%,4-8,33.3%,52-56,48.1%,0-1,0.0%,5,79.7%,15.1%,7.8%,5.7%,61.0%,70.6%,51.9%,63.3%,34.9%,49.1%,0.95
Best of 3,13,7,6,53.8%,18-15,54.5%,163-156,51.1%,3-0,100.0%,10,76.2%,23.3%,5.4%,4.5%,57.4%,71.8%,50.3%,62.6%,36.8%,50.0%,0.98
Quarter-finals,1,0,1,0.0%,1-2,33.3%,11-13,45.8%,0-0,-,1,58.3%,33.3%,4.1%,6.8%,60.3%,65.9%,44.8%,57.5%,43.2%,50.3%,1.02
vs Righties,15,6,9,40.0%,18-21,46.2%,187-185,50.3%,3-1,75.0%,13,75.4%,19.7%,6.2%,5.2%,58.3%,70.3%,50.5%,62.1%,35.5%,49.0%,0.94
vs Lefties,2,1,1,50.0%,3-2,60.0%,24-24,50.0%,0-0,-,1,100.0%,30.0%,5.7%,3.8%,60.4%,84.4%,47.6%,69.8%,41.0%,54.4%,1.36
vs Top 10,1,0,1,0.0%,1-2,33.3%,13-16,44.8%,0-0,-,1,73.3%,14.3%,3.3%,0.0%,64.4%,65.5%,53.1%,61.1%,25.0%,45.1%,0.64
