Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2017 Toronto $60K QF,L vs Schnyder,0.92,0.58,47.0,2.0,0.0%,50.0%,7.1%,57.1%,16.0%,43.5%
2017 Toronto $60K R16,W vs Sebov,1.04,1.18,69.3,2.2,0.0%,67.3%,0.0%,50.0%,48.9%,45.0%
2017 Templeton CA $60K R16,L vs Loeb,0.93,0.56,42.6,2.2,0.0%,53.8%,0.0%,43.5%,34.6%,26.1%
2017 Templeton CA $60K R32,W vs Potapova,1.13,1.56,38.8,2.2,3.1%,75.0%,3.2%,45.2%,58.1%,51.6%
2017 Las Vegas NV $60K R16,L vs Mateas,0.99,0.80,68.0,3.7,2.7%,45.9%,2.9%,37.1%,42.6%,52.3%
2017 Las Vegas NV $60K R32,W vs Haas,1.11,1.47,51.1,2.7,3.3%,60.0%,4.2%,54.2%,53.8%,58.3%
2017 Granby $60K R16,L vs Bouzkova,0.85,0.80,54.4,4.4,0.0%,45.7%,0.0%,56.1%,42.9%,50.0%
2017 Granby $60K R32,W vs Dunne,1.11,1.16,67.6,17.5,0.0%,54.1%,1.7%,56.9%,41.5%,52.1%
2017 Gatineau $25K R16,L vs Wozniak,0.99,0.68,40.7,2.2,3.3%,23.3%,3.4%,44.8%,40.9%,50.0%
2017 Gatineau $25K R32,W vs Zlochova,1.09,1.60,42.6,2.4,0.0%,71.9%,0.0%,53.6%,60.0%,48.0%
2017 Tampa FL $15K R16,L vs Larcher De Brito,1.06,0.89,52.6,2.2,0.0%,35.3%,0.0%,50.0%,47.2%,50.0%
2017 Tampa FL $15K R32,W vs Moreno Kaste,1.33,3.01,25.6,2.1,0.0%,68.4%,0.0%,66.7%,71.4%,76.5%
2016 Saguenay $50K R32,L vs Brady,1.05,0.42,40.1,2.7,0.0%,43.5%,5.0%,50.0%,28.6%,14.3%
2012 Las Vegas NV 50K QF,L vs Rogers,0.80,0.65,42.1,2.2,-,50.0%,-,48.4%,37.9%,46.2%
2012 El Paso TX 25K R32,W vs Hsu,1.05,1.21,46.3,4.3,-,53.5%,-,45.0%,56.1%,61.0%
2012 Sacramento CA 50K R16,W vs Alves,1.11,2.07,40.4,2.3,-,71.4%,-,72.2%,64.3%,40.0%
2012 Sacramento CA 50K R32,W vs Profit,1.36,2.99,27.6,2.1,-,71.4%,-,73.7%,63.2%,57.9%
2012 Pelham AL 25K R32,L vs Vandeweghe,0.96,0.66,46.2,2.1,-,47.4%,-,52.8%,39.3%,29.6%
2012 Portimao 10K F,L vs Ozga,1.04,0.79,54.2,4.7,-,40.9%,-,52.5%,36.4%,45.2%
2011 Quebec City R32,L vs Arvidsson,0.92,0.80,57.1,5.5,-,48.9%,-,45.5%,56.4%,34.3%
2017 (12 matches),,1.03,1.04,53.6,2.6,0.9%,53.5%,1.7%,51.1%,45.8%,49.9%
2016 (1 matches),,1.05,0.42,40.1,2.7,0.0%,43.5%,5.0%,50.0%,28.6%,14.3%
2012 (6 matches),,1.03,1.06,44.8,2.6,0.0%,52.8%,0.0%,54.3%,48.1%,47.2%
2011 (1 matches),,0.92,0.80,57.1,5.5,0.0%,48.9%,0.0%,45.5%,56.4%,34.3%
Career (20 matches),,1.03,1.00,50.9,2.7,0.6%,52.6%,1.2%,51.6%,46.6%,47.0%
