Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2017,471,69,,,,,,,,,1300,3,,
2016,994,9,,,,,,,,,485,91,,
2012,218,267,207,1483,199,1453,193,1445,,,120,630,,
2011,301,175,174,1538,169,1498,160,1493,,,105,755,,
2010,162,368,185,1528,181,1493,171,1481,128,1499,167,433,,
2009,210,248,137,1630,135,1582,124,1575,,,,,,
2008,186,163,64,1766,66,1702,65,1686,,,,,,
2007,329,68,,,,,,,,,,,,
2006,1431,2,,,,,,,,,,,,
2005,61,558,15,2015,18,1909,17,1899,,,,,,
2004,15,1598,14,2040,13,1964,23,1850,16,1798,,,,
2003,21,1250,15,1986,17,1902,30,1828,28,1743,,,,
2002,26,1137,15,1989,20,1876,20,1868,20,1750,,,,
2001,49,649,56,1805,56,1719,47,1751,72,1583,,,,
2000,133,233,142,1624,149,1529,137,1565,147,1454,,,,
1999,392,32,,,,,,,,,,,,
1998,384,33,,,,,,,,,,,,
