Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2025 Palermo 125 F,L vs Jones,63% (5/8),- (0/0),0/0,0/0,40% (2/5),1/3,0/1,- (0/0),- (0/0)
2024 W50 Otocec F,W vs Jimenez Kasintseva,37% (7/19),44% (7/16),2/3,1/1,56% (9/16),3/4,0/0,- (0/0),- (0/0)
2019 W15 Antalya R16,L vs Sakellaridi,50% (3/6),40% (2/5),0/0,0/0,29% (2/7),0/2,0/1,- (0/0),- (0/0)
2019 W15 Antalya R32,W vs Shytkouskaya,67% (6/9),43% (6/14),2/4,1/2,40% (2/5),0/0,0/0,- (0/0),- (0/0)
2025 (1 matches),,62.5%,-,-,-,40.0%,33.3%,0.0%,-,-
2024 (1 matches),,36.8%,43.8%,66.7%,100.0%,56.3%,75.0%,-,-,-
2019 (2 matches),,60.0%,42.1%,50.0%,50.0%,33.3%,0.0%,0.0%,-,-
Career (4 matches),,50.0%,42.9%,57.1%,66.7%,45.5%,44.4%,0.0%,-,-
