Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2026 Miami R128,L vs Mannarino,0.0%,-,5.0%,100.0%,9.9%,16.7%,0.0%,8.3%,16.7%,0.7%,0.0%,14,2
2025 Dubai R32,L vs Mpetshi Perricard,0.0%,-,12.1%,47.1%,10.2%,7.1%,20.0%,0.0%,0.0%,0.7%,0.0%,8,-50
2025 Marseille R16,W vs Hurkacz,1.2%,0.0%,7.9%,86.7%,22.7%,18.9%,25.0%,11.3%,30.8%,2.7%,50.0%,69,92
2025 Rotterdam R32,L vs Rublev,1.6%,100.0%,3.8%,80.0%,15.4%,4.8%,0.0%,6.7%,33.3%,1.6%,66.7%,10,6
2025 Adelaide R32,L vs Shapovalov,0.0%,-,6.5%,42.9%,13.0%,0.0%,14.3%,11.8%,40.0%,2.0%,0.0%,9,-42
2024 Hangzhou F,L vs Cilic,0.0%,-,3.1%,60.0%,26.7%,26.3%,50.0%,7.5%,22.2%,0.0%,-,50,102
2024 Hangzhou SF,W vs Yunchaokete,0.0%,-,4.3%,83.3%,13.7%,16.7%,0.0%,2.8%,20.0%,0.4%,0.0%,7,35
2024 Cincinnati R32,L vs Rublev,2.0%,100.0%,1.0%,100.0%,25.9%,35.7%,0.0%,6.5%,33.3%,1.0%,0.0%,42,12
2024 Cincinnati R64,W vs Mpetshi Perricard,2.2%,100.0%,10.8%,61.5%,10.6%,10.3%,14.3%,14.3%,50.0%,2.9%,25.0%,-30,0
2024 Hamburg QF,L vs Zverev,9.8%,80.0%,12.1%,58.3%,25.0%,35.7%,0.0%,3.3%,0.0%,5.1%,60.0%,46,-54
2024 Halle SF,L vs Sinner,1.6%,0.0%,12.2%,70.6%,9.5%,17.9%,0.0%,7.4%,25.0%,1.5%,33.3%,-28,12
2024 Roland Garros R32,L vs Tsitsipas,0.0%,-,6.6%,77.8%,12.2%,6.1%,0.0%,3.1%,14.3%,1.8%,50.0%,-53,-92
2024 Rome QF,L vs Tabilo,1.8%,100.0%,14.5%,50.0%,24.1%,47.6%,0.0%,17.9%,100.0%,2.2%,50.0%,9,14
2024 Marseille R16,W vs Auger Aliassime,0.0%,-,3.4%,100.0%,15.8%,20.0%,33.3%,15.4%,28.6%,1.4%,100.0%,18,84
2024 United Cup QF,L vs Hurkacz,0.0%,-,14.2%,64.7%,15.7%,23.1%,0.0%,4.0%,14.3%,0.6%,100.0%,43,28
2023 United Cup RR,L vs Djokovic,0.0%,-,8.7%,77.8%,11.8%,12.5%,0.0%,20.5%,60.0%,0.7%,100.0%,54,53
2023 United Cup RR,W vs Lehecka,0.0%,-,10.8%,68.4%,6.3%,10.2%,0.0%,8.2%,22.7%,1.1%,33.3%,-10,18
2023 Tokyo R32,W vs Hurkacz,0.0%,-,11.3%,68.2%,13.3%,17.8%,0.0%,5.3%,18.2%,0.6%,50.0%,2,19
2023 Shanghai R16,L vs Hurkacz,0.0%,-,15.1%,68.8%,15.2%,28.8%,42.9%,11.5%,35.3%,1.2%,75.0%,18,5
2023 Shanghai R64,W vs Gasquet,0.0%,-,4.5%,50.0%,32.1%,35.3%,0.0%,14.3%,54.5%,0.0%,-,7,30
Career (28 matches),,1.3%,60.0%,9.6%,63.9%,14.1%,18.5%,10.7%,8.1%,24.9%,1.2%,44.4%,8,13
