Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,5,Hard,6,1,5,16.7%,7,2,5,28.6%,2020,2026,R64,6,0.81,9.7%,1.8%,63.3%,71.9%,45.8%,62.3%,30.6%,55.1%,42.5%
Roland Garros,3,Clay,8,5,3,62.5%,2,1,1,50.0%,2021,2024,R32,8,1.04,8.1%,2.0%,63.0%,69.0%,51.5%,62.5%,38.9%,58.5%,42.6%
Wimbledon,4,Grass,9,5,4,55.6%,11,5,6,45.5%,2021,2024,R64,9,1.07,10.7%,1.4%,66.7%,74.8%,47.0%,65.5%,36.8%,67.6%,51.6%
US Open,3,Hard,8,5,3,62.5%,3,1,2,33.3%,2022,2024,R32,8,1.00,9.9%,2.8%,62.6%,71.8%,47.9%,62.9%,37.3%,59.2%,37.5%
Olympics,1,,1,0,1,0.0%,0,0,0,-,2024,2024,R64,1,0.70,1.2%,1.2%,96.4%,56.8%,0.0%,54.8%,31.9%,50.0%,42.9%
Davis Cup,6,,8,6,2,75.0%,3,2,1,66.7%,2017,2026,,3,1.17,8.3%,5.2%,55.2%,74.5%,57.0%,66.7%,39.0%,68.8%,47.1%
Miami Masters,3,Hard,4,1,3,25.0%,2,0,2,0.0%,2023,2026,R128,4,0.86,8.0%,3.6%,57.4%,70.6%,48.1%,61.0%,33.6%,47.1%,30.0%
Dubai,5,Hard,5,0,5,0.0%,5,1,4,20.0%,2020,2026,R32,5,0.80,11.8%,2.3%,66.1%,72.6%,46.7%,63.8%,29.0%,63.3%,28.6%
Doha,4,Hard,6,2,4,33.3%,2,0,2,0.0%,2023,2026,R16,6,0.99,8.5%,2.8%,63.5%,73.2%,50.0%,64.8%,35.0%,63.9%,52.0%
United Cup,2,Hard,8,3,5,37.5%,2,1,1,50.0%,2024,2026,QF,8,0.84,8.4%,1.8%,63.1%,74.0%,48.3%,64.5%,29.7%,58.5%,34.4%
Shanghai Masters,9,Hard,12,3,9,25.0%,5,1,4,20.0%,2012,2025,R16,11,0.92,9.3%,2.2%,65.7%,72.2%,47.6%,63.8%,33.3%,57.1%,37.0%
Beijing,6,Hard,8,2,6,25.0%,1,1,0,100.0%,2015,2025,R16,6,0.69,5.7%,4.0%,57.1%,67.6%,45.9%,58.3%,29.0%,51.2%,31.6%
