Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2026 Miami R128,L vs Mannarino,24.5%,32.1%,39.5%,30.6%,34.4%,46.9%,47.6%,44.4%,42.9%,27.8%,0.0%,10.5%,10.5%,29.4%,-13
2025 Dubai R32,L vs Mpetshi Perricard,47.1%,52.9%,41.7%,51.0%,52.1%,58.3%,52.2%,57.7%,21.7%,44.0%,25.0%,38.1%,42.9%,23.1%,-10
2025 Marseille R16,W vs Hurkacz,37.9%,53.7%,61.1%,44.4%,45.8%,62.7%,56.3%,56.3%,33.3%,34.4%,0.0%,29.0%,45.2%,68.2%,131
2025 Rotterdam R32,L vs Rublev,35.7%,44.3%,43.9%,39.4%,42.1%,52.6%,50.0%,48.9%,42.9%,37.5%,25.0%,32.1%,39.3%,36.8%,110
2025 Adelaide R32,L vs Shapovalov,35.8%,45.3%,50.0%,40.6%,43.3%,60.0%,47.1%,51.7%,52.9%,53.8%,50.0%,28.6%,28.6%,53.3%,53
2024 Hangzhou F,L vs Cilic,48.7%,62.8%,57.9%,56.2%,58.2%,72.7%,56.5%,68.7%,50.0%,21.2%,100.0%,28.6%,42.9%,60.0%,53
2024 Hangzhou SF,W vs Yunchaokete,39.7%,50.0%,53.2%,42.9%,50.8%,59.3%,48.3%,55.1%,34.8%,33.3%,0.0%,5.3%,21.1%,61.1%,-79
2024 Cincinnati R32,L vs Rublev,40.0%,47.3%,41.4%,42.7%,62.5%,71.9%,50.0%,67.2%,38.9%,78.6%,100.0%,10.5%,15.8%,35.3%,-22
2024 Cincinnati R64,W vs Mpetshi Perricard,35.3%,47.1%,71.0%,40.8%,48.0%,56.0%,53.8%,59.2%,40.0%,33.3%,0.0%,25.0%,41.7%,83.3%,37
2024 Hamburg QF,L vs Zverev,25.9%,44.4%,50.0%,37.4%,37.1%,65.7%,54.5%,54.9%,40.0%,45.0%,100.0%,5.3%,5.3%,44.4%,-79
2024 Halle SF,L vs Sinner,37.0%,41.1%,45.5%,43.2%,49.0%,55.1%,60.0%,58.2%,66.7%,50.0%,-,13.6%,13.6%,26.3%,19
2024 Roland Garros R32,L vs Tsitsipas,17.8%,24.7%,45.8%,23.7%,21.7%,32.6%,50.0%,31.1%,40.0%,61.5%,100.0%,11.5%,11.5%,39.1%,-23
2024 Rome QF,L vs Tabilo,23.3%,43.3%,52.3%,34.8%,33.3%,63.3%,70.0%,56.3%,83.3%,50.0%,100.0%,14.3%,25.0%,37.5%,22
2024 Marseille R16,W vs Auger Aliassime,46.6%,58.6%,48.1%,49.1%,59.0%,66.7%,43.8%,62.8%,42.1%,40.0%,-,26.7%,53.3%,54.5%,113
2024 United Cup QF,L vs Hurkacz,32.7%,38.2%,48.6%,38.9%,34.5%,41.4%,57.9%,46.2%,40.0%,52.6%,50.0%,33.3%,37.5%,37.5%,37
2023 United Cup RR,L vs Djokovic,26.3%,42.1%,40.0%,34.7%,40.0%,57.1%,47.6%,53.7%,52.9%,33.3%,40.0%,5.0%,20.0%,31.6%,-68
2023 United Cup RR,W vs Lehecka,26.8%,33.0%,51.5%,33.7%,37.3%,45.8%,54.1%,48.6%,55.2%,33.3%,50.0%,11.4%,14.3%,48.4%,-2
2023 Tokyo R32,W vs Hurkacz,33.0%,39.8%,50.9%,37.3%,45.1%,52.9%,57.1%,52.5%,47.6%,46.7%,80.0%,17.1%,22.9%,44.8%,3
2023 Shanghai R16,L vs Hurkacz,22.0%,32.2%,56.7%,29.8%,28.2%,41.0%,58.9%,40.0%,48.3%,46.9%,50.0%,10.5%,15.8%,52.9%,-8
2023 Shanghai R64,W vs Gasquet,48.5%,57.6%,75.0%,53.6%,65.2%,69.6%,87.5%,72.6%,62.5%,53.3%,-,11.1%,33.3%,62.5%,-8
Career (28 matches),,32.5%,42.5%,49.8%,38.6%,41.5%,53.1%,52.8%,51.1%,44.1%,38.4%,42.9%,19.0%,26.6%,45.9%,32
