Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2026 Miami R128,L vs Mannarino,0.91,0.54,42.9,2.2,7.1%,57.1%,4.0%,48.0%,32.0%,22.7%
2025 Dubai R32,L vs Mpetshi Perricard,0.88,0.67,46.2,2.0,10.8%,64.9%,9.1%,72.7%,16.7%,31.4%
2025 Marseille R16,W vs Hurkacz,1.12,1.29,66.2,2.5,9.8%,74.5%,11.4%,70.5%,38.0%,24.4%
2025 Rotterdam R32,L vs Rublev,0.75,0.54,31.6,2.2,13.5%,59.5%,9.1%,63.6%,18.2%,39.3%
2025 Adelaide R32,L vs Shapovalov,0.78,0.47,38.3,2.0,7.1%,71.4%,8.0%,60.0%,20.7%,20.0%
2024 Hangzhou F,L vs Cilic,0.79,0.79,61.7,2.4,20.0%,77.5%,15.8%,76.3%,9.1%,38.5%
2024 Hangzhou SF,W vs Yunchaokete,1.28,1.26,53.9,2.3,10.0%,65.0%,18.4%,78.9%,25.0%,31.0%
2024 Cincinnati R32,L vs Rublev,0.85,0.41,39.1,2.3,13.3%,70.0%,8.0%,52.0%,15.4%,21.7%
2024 Cincinnati R64,W vs Mpetshi Perricard,0.97,1.89,48.5,2.3,10.7%,71.4%,13.0%,87.0%,37.8%,46.9%
2024 Hamburg QF,L vs Zverev,0.74,0.40,34.6,2.2,10.3%,58.6%,0.0%,68.0%,20.8%,19.0%
2024 Wimbledon R64,L vs Struff,0.94,0.80,50.8,3.7,14.1%,69.2%,11.8%,69.1%,18.9%,34.9%
2024 Wimbledon R128,W vs Janvier,1.16,1.52,31.4,2.3,16.0%,74.0%,12.8%,66.0%,32.6%,46.3%
2024 Halle SF,L vs Sinner,0.90,0.65,55.9,2.4,12.8%,59.0%,11.8%,70.6%,36.4%,15.2%
2024 Roland Garros R32,L vs Tsitsipas,0.75,0.31,20.1,2.0,2.6%,56.4%,2.9%,52.9%,14.7%,23.3%
2024 Rome QF,L vs Tabilo,0.79,0.64,42.9,2.0,6.7%,66.7%,6.7%,56.7%,34.4%,28.1%
2024 Marseille R16,W vs Auger Aliassime,1.25,1.75,39.1,2.1,6.1%,69.7%,16.0%,68.0%,41.9%,44.8%
2024 United Cup QF,L vs Hurkacz,0.75,0.63,44.4,2.0,3.4%,51.7%,7.7%,76.9%,35.3%,25.8%
2024 United Cup RR,L vs Djokovic,0.73,0.35,27.8,2.2,10.3%,69.0%,3.6%,39.3%,29.2%,13.6%
2024 United Cup RR,W vs Lehecka,1.43,1.26,60.8,4.0,2.0%,58.8%,8.7%,67.4%,31.0%,35.1%
2023 Tokyo R32,W vs Hurkacz,1.06,1.23,77.8,13.3,12.5%,66.7%,10.0%,65.0%,39.3%,40.0%
2026 (1 matches),,0.91,0.54,42.9,2.2,7.1%,57.1%,4.0%,48.0%,32.0%,22.7%
2025 (4 matches),,0.91,0.75,48.0,2.2,10.5%,68.0%,9.6%,67.4%,25.0%,28.6%
2024 (14 matches),,0.97,0.84,45.0,2.3,10.3%,65.9%,10.3%,66.7%,26.7%,31.8%
2023 (10 matches),,1.09,1.02,55.1,3.1,11.6%,64.6%,7.5%,60.2%,35.1%,35.2%
2022 (1 matches),,0.86,0.89,49.5,71.2,14.3%,64.3%,13.7%,71.2%,29.3%,37.6%
Career (62 matches),,1.00,0.88,51.8,2.7,8.9%,63.5%,8.1%,60.8%,32.6%,34.0%
