Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
1996,231,73,90,1742,77,1699,92,1682,,,,,,
1995,302,3,67,1800,58,1751,55,1751,39,1707,,,,
1994,36,45,26,1955,26,1880,28,1852,18,1806,,,,
1993,22,59,21,1978,22,1920,23,1878,15,1828,,,,
1992,16,57,23,1992,14,1951,25,1881,14,1850,,,,
1991,11,74,14,2050,11,1997,13,1947,12,1846,,,,
1990,6,115,10,2112,10,2011,10,2015,11,1869,,,,
1989,15,51,16,1976,12,1906,15,1890,,,,,,
1988,11,58,10,2046,9,1960,8,1956,16,1818,,,,
1987,13,45,11,2017,13,1904,9,1952,24,1755,,,,
1986,29,24,19,1921,26,1789,17,1844,29,1730,,,,
1985,28,,16,1982,19,1829,14,1897,31,1733,,,,
1984,93,,79,1698,93,1595,52,1687,,,,,,
