Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,275,158,117,57.5%,357-276,56.4%,3060-2732,52.8%,26-27,49.1%,37,53.7%,45.2%,1.5%,7.9%,59.3%,59.7%,39.7%,51.6%,48.0%,49.7%,0.99
Clay,180,101,79,56.1%,227-193,54.0%,1957-1824,51.8%,17-8,68.0%,14,45.8%,40.4%,0.5%,8.5%,59.1%,56.7%,37.8%,49.0%,46.2%,47.6%,0.91
Grass,3,1,2,33.3%,2-4,33.3%,25-29,46.3%,0-0,-,0,,,,,,,,,,,
Finals,16,8,8,50.0%,18-16,52.9%,160-149,51.8%,0-2,0.0%,2,38.9%,61.1%,0.8%,7.5%,60.8%,53.4%,36.2%,46.7%,52.9%,50.0%,0.99
Semi-finals,40,16,24,40.0%,42-55,43.3%,423-468,47.5%,4-2,66.7%,3,48.3%,44.4%,0.5%,5.4%,68.3%,55.9%,30.5%,47.8%,48.5%,48.2%,0.93
Quarter-finals,73,40,33,54.8%,89-80,52.7%,803-760,51.4%,8-9,47.1%,7,53.4%,43.6%,0.2%,11.9%,58.9%,60.6%,34.7%,50.0%,46.4%,48.1%,0.93
vs Righties,312,168,144,53.8%,385-337,53.3%,3390-3219,51.3%,27-24,52.9%,32,50.6%,39.5%,1.1%,7.6%,59.2%,58.7%,38.7%,50.6%,45.8%,48.1%,0.93
vs Lefties,43,23,20,53.5%,51-48,51.5%,455-440,50.8%,6-1,85.7%,4,54.8%,57.1%,1.4%,7.9%,64.3%,57.8%,43.0%,52.5%,53.0%,52.7%,1.12
