Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),351,183,293,1447,287,1410,247,1421,222,1367,,,,
2025,271,260,293,1447,289,1410,257,1421,228,1367,1355,17
2024,295,217,259,1470,245,1439,,,,,,
2023,427,136,297,1380,,,262,1364,,,,
2022,237,270,329,1318,325,1278,306,1291,231,1318,,
2021,189,361,262,1398,268,1335,238,1364,,,,
2020,254,248,,,,,,,,,785,46
2019,261,229,301,1348,302,1290,282,1306,,,909,28
2018,321,131,,,,,,,,,405,126
2017,286,172,,,,,,,,,412,128
2016,322,132,,,,,,,,,668,46
2015,336,114,,,,,,,,,779,30
2014,,,,,,,,,,,1015,12
