Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2015 Luxembourg R32,L vs Maria,0.0%,-,27.5%,58.5%,3.0%,4.3%,3.8%,9.6%,18.2%,0.3%,0.0%,-77,-83
Career (1 matches),,0.0%,-,27.5%,58.5%,3.0%,4.3%,3.8%,9.6%,18.2%,0.3%,0.0%,-77,-83
