Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2020,568,64,,,,,,,,,18,3810,,
2019,395,114,193,1543,182,1514,278,1312,,,17,3800,,
2018,145,406,161,1580,157,1543,205,1350,119,1516,67,1220,,
2018,145,406,161,1580,157,1543,205,1350,119,1516,67,1220,,
2017,90,726,117,1653,117,1611,182,1388,101,1561,154,474,,
2016,104,630,117,1657,120,1606,,,94,1565,458,99,,
2015,118,527,124,1636,126,1590,181,1393,98,1571,,,,
2014,119,475,110,1683,102,1652,,,,,,,,
2013,174,360,152,1607,145,1570,,,,,,,,
2012,132,526,184,1540,166,1521,,,,,336,162,,
2011,380,113,,,,,,,,,485,96,,
2010,346,125,,,,,,,,,746,31,,
2009,402,88,,,,,,,,,,,,
2008,937,7,,,,,,,,,,,,
2007,782,11,,,,,,,,,,,,
