Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2019 Hua Hin R16,L vs Golubic,68.2%,50.0%,2.3%,2/0,2.66,27.4%,68.4%,48.7%,1.8%,2.67,40.0%,84.0%,52.4%,4.0%,2.64,4.5%
2018 Shenzhen R16,L vs Halep,73.5%,38.0%,7.4%,4/1,2.42,0.0%,79.1%,26.5%,9.3%,2.28,0.0%,72.7%,62.5%,4.5%,2.62,0.0%
2017 Tianjin R16,L vs Sabalenka,57.1%,50.0%,21.4%,5/7,2.94,0.0%,50.0%,43.8%,18.8%,2.99,0.0%,76.2%,56.3%,28.6%,2.84,0.0%
2017 Eastbourne R32,L vs Halep,67.6%,45.8%,18.3%,7/6,2.53,6.1%,66.0%,39.4%,12.0%,2.56,6.1%,78.9%,60.0%,36.8%,2.44,5.9%
2017 Zhengzhou R32,W vs Plipuech,79.5%,85.7%,0.0%,0/0,2.67,30.0%,71.4%,75.0%,0.0%,2.68,54.5%,93.8%,100.0%,0.0%,2.64,0.0%
2017 Miami R128,W vs Siegemund,84.3%,57.1%,0.0%,0/0,2.30,12.8%,83.3%,55.0%,0.0%,2.46,16.7%,100.0%,60.0%,0.0%,1.76,0.0%
2017 Australian Open R32,L vs Williams,68.9%,38.7%,13.3%,4/2,2.34,2.6%,69.2%,44.4%,3.8%,2.46,4.3%,76.5%,30.8%,29.4%,2.17,0.0%
2016 Nanchang F,W vs King,75.0%,54.9%,4.4%,1/2,2.64,3.9%,73.8%,51.6%,2.4%,2.76,7.1%,90.9%,60.0%,9.1%,2.46,0.0%
2013 US Open R128,L vs Wozniacki,64.9%,47.9%,1.4%,0/1,2.76,6.1%,75.6%,50.0%,2.2%,2.73,8.6%,77.8%,42.9%,0.0%,2.83,0.0%
Career (9 matches),,71.2%,51.8%,7.0%,54.8%,2.59,8.7%,71.4%,47.5%,5.4%,2.63,12.7%,84.2%,58.8%,11.6%,2.51,1.3%
