Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2021 Australian Open R128,L vs Kyrgios,1.07,0.52,29.4,2.6,3.4%,54.2%,5.4%,57.1%,13.5%,31.3%
2020 Sao Paulo CH F,L vs Meligeni Alves,1.00,0.71,51.1,2.0,11.8%,55.9%,3.2%,45.2%,35.3%,34.4%
2019 Lisboa CH R32,L vs Martinez,0.86,0.69,50.1,2.3,-,54.8%,-,48.3%,36.4%,41.4%
2019 Lisboa CH R64,W vs Diez,1.07,1.24,65.1,4.4,-,61.8%,-,53.6%,47.7%,48.8%
2019 Braga CH R32,W vs Fratangelo,1.09,1.25,61.5,2.5,4.3%,50.0%,2.3%,61.4%,54.9%,46.9%
2019 Braga CH R64,W vs Batista,1.20,2.93,29.5,2.1,4.3%,78.3%,5.9%,70.6%,61.1%,61.1%
2019 Sophia Antipolis CH R32,L vs Krajinovic,1.02,0.92,59.3,20.4,0.0%,62.3%,6.7%,43.3%,36.4%,49.0%
2019 Sophia Antipolis CH R64,W vs Brkic,1.28,2.04,33.1,2.0,3.7%,63.0%,8.3%,66.7%,68.0%,43.5%
2019 Sophia Antipolis CH Q1,W vs Zhurbin,1.12,1.35,55.0,3.3,5.3%,57.9%,5.9%,61.8%,44.4%,53.1%
2019 Lille CH R64,L vs Zapata Miralles,0.90,0.59,42.8,2.0,0.0%,46.4%,11.1%,55.6%,39.3%,24.0%
2018 Pune CH QF,L vs Schnur,0.81,0.91,83.5,3.4,12.5%,64.3%,6.1%,67.3%,39.3%,37.3%
2018 Bengaluru CH QF,L vs Nedovyesov,1.10,0.56,44.6,2.2,0.0%,57.1%,4.3%,43.5%,24.0%,26.1%
2018 Antwerp Q1,L vs Robert,0.88,0.76,49.1,2.1,7.0%,57.9%,5.9%,56.9%,41.8%,31.4%
2018 Almaty CH R32,L vs Istomin,0.83,0.67,46.8,2.0,10.0%,66.7%,3.8%,57.7%,30.3%,30.0%
2018 Kaohsiung CH R32,W vs Nishioka,1.52,2.98,27.0,2.1,4.3%,69.6%,14.3%,81.0%,52.2%,45.5%
2018 Portugal F1 QF,W vs Gil,1.15,1.81,44.1,3.0,0.0%,53.6%,7.4%,74.1%,54.5%,60.0%
2017 Estoril R16,L vs Ferrer,0.82,0.52,35.7,2.0,0.0%,55.2%,3.7%,44.4%,32.1%,32.0%
2017 Estoril R32,W vs Istomin,1.07,1.84,45.3,2.1,4.3%,60.9%,4.5%,68.2%,50.0%,75.0%
2017 Bangkok CH R16,L vs Garin,1.02,0.87,72.5,5.0,3.7%,48.1%,7.8%,64.7%,33.9%,41.4%
2016 Cordenons CH R32,L vs Sonego,1.06,0.72,54.3,2.0,0.0%,51.3%,0.0%,52.8%,38.7%,25.9%
2021 (1 matches),,1.07,0.52,29.4,2.6,3.4%,54.2%,5.4%,57.1%,13.5%,31.3%
2020 (1 matches),,1.00,0.71,51.1,2.0,11.8%,55.9%,3.2%,45.2%,35.3%,34.4%
2019 (8 matches),,1.05,1.14,52.9,2.8,2.1%,58.7%,4.9%,55.5%,46.9%,46.3%
2018 (6 matches),,0.98,0.99,54.5,2.4,6.8%,61.3%,6.6%,62.9%,39.7%,36.6%
2017 (3 matches),,0.97,0.91,57.3,2.6,2.8%,52.8%,6.0%,60.0%,36.8%,45.6%
Career (37 matches),,1.01,0.96,54.5,2.7,3.5%,56.7%,4.3%,58.5%,39.6%,41.0%
