Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2020 Sao Paulo CH F,L vs Meligeni Alves,71.2%,46.8%,4.5%,1/2,2.50,4.5%,72.1%,48.4%,2.3%,2.45,10.0%,72.7%,43.8%,9.1%,2.54,0.0%
2017 Estoril R16,L vs Ferrer,75.5%,37.5%,3.8%,0/2,2.52,18.2%,70.6%,29.2%,0.0%,2.53,20.0%,94.1%,50.0%,11.8%,2.50,14.3%
Career (2 matches),,73.1%,42.5%,4.2%,20.0%,2.51,11.4%,71.4%,40.0%,1.3%,2.50,16.0%,82.1%,46.9%,10.3%,2.53,5.3%
