Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2025 Cincinnati R64,L vs Sinner,27.1%,33.3%,24.2%,28.1%,38.5%,42.3%,18.8%,40.4%,38.5%,38.5%,66.7%,15.0%,25.0%,29.4%,32
2025 Roland Garros R64,L vs Musetti,15.2%,26.6%,44.6%,24.1%,15.5%,29.3%,44.9%,27.6%,37.9%,41.4%,28.6%,15.8%,21.1%,43.8%,39
2025 Roland Garros R128,W vs Royer,27.0%,36.0%,48.6%,32.1%,32.3%,42.1%,47.8%,39.9%,58.9%,36.4%,33.3%,18.0%,26.2%,50.0%,57
2024 Cagliari CH SF,L vs Musetti,17.3%,17.3%,34.9%,19.6%,25.0%,25.0%,33.3%,30.0%,25.0%,75.0%,100.0%,10.7%,10.7%,36.0%,-79
2024 Australian Open R128,W vs Kubler,24.3%,32.7%,45.7%,31.2%,31.4%,43.1%,50.0%,41.6%,38.8%,51.4%,30.0%,9.5%,11.1%,38.6%,-33
2023 Wimbledon R16,L vs Sinner,38.6%,45.7%,36.0%,42.7%,49.4%,59.5%,47.5%,55.9%,43.9%,63.2%,55.6%,22.2%,24.4%,22.9%,16
2023 Wimbledon R128,W vs Nishioka,34.5%,41.4%,52.8%,38.0%,51.0%,60.8%,60.0%,57.1%,46.4%,60.9%,100.0%,12.5%,15.6%,46.4%,4
2023 Madrid R128,L vs Bublik,24.6%,43.0%,60.7%,37.1%,29.1%,53.2%,69.6%,47.2%,40.6%,48.9%,0.0%,15.2%,21.2%,42.9%,7
2022 San Diego QF,L vs Nakashima,30.8%,41.0%,50.0%,39.1%,38.3%,53.2%,51.7%,52.1%,43.5%,50.0%,100.0%,20.7%,24.1%,47.8%,19
2022 US Open R64,W vs Thompson,27.9%,32.6%,42.3%,31.7%,35.0%,40.8%,47.8%,41.4%,29.4%,28.8%,40.0%,17.6%,20.6%,35.7%,-57
2021 Davis Cup Finals RR,L vs Sinner,9.6%,13.5%,40.9%,10.6%,12.9%,16.1%,25.9%,14.5%,33.3%,50.0%,40.0%,5.6%,11.1%,64.7%,-66
2021 Acapulco R32,L vs Ruud,14.9%,25.5%,46.2%,20.9%,23.1%,30.8%,55.0%,33.8%,26.7%,54.5%,100.0%,5.0%,20.0%,36.8%,-79
2021 Delray Beach R16,L vs Hurkacz,17.6%,23.5%,39.0%,22.9%,26.7%,36.7%,45.5%,35.7%,30.8%,64.7%,100.0%,5.0%,5.0%,31.6%,-66
2020 Lima CH F,W vs Tirante,11.6%,25.6%,60.0%,19.2%,16.0%,30.0%,66.7%,29.0%,24.0%,64.0%,60.0%,5.7%,20.0%,51.5%,-57
2019 Houston R16,W vs Johnson,24.0%,50.0%,65.8%,36.6%,27.3%,54.5%,66.7%,46.4%,21.4%,47.4%,-,17.6%,41.2%,64.3%,-79
Career (15 matches),,24.8%,34.1%,46.9%,30.9%,31.8%,43.3%,50.6%,41.4%,38.9%,48.2%,51.4%,14.0%,19.7%,41.6%,3
