Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,4,1,3,25.0%,3-6,33.3%,42-52,44.7%,0-1,0.0%,4,71.7%,19.1%,9.3%,3.6%,60.2%,65.5%,46.2%,57.8%,35.3%,47.4%,0.84,R16 (Canberra)
2025,33,20,13,60.6%,44-30,59.5%,393-339,53.7%,6-7,46.2%,33,78.3%,29.2%,5.9%,2.9%,64.5%,71.1%,49.9%,63.6%,39.9%,51.7%,1.10,W (2x)
2024,32,17,15,53.1%,35-36,49.3%,361-349,50.8%,6-10,37.5%,31,80.0%,22.6%,7.2%,2.2%,61.2%,70.4%,51.3%,63.0%,38.6%,50.6%,1.04,F (Braga)
2023,27,19,8,70.4%,38-22,63.3%,314-257,55.0%,4-3,57.1%,27,80.7%,29.8%,6.8%,1.6%,62.6%,71.2%,51.2%,63.7%,41.0%,52.2%,1.13,F (2x)
2022,30,22,8,73.3%,47-26,64.4%,391-306,56.1%,8-3,72.7%,30,83.5%,27.3%,5.3%,2.0%,64.7%,71.3%,55.4%,65.7%,40.1%,52.6%,1.17,W (2x)
2021,23,10,13,43.5%,24-31,43.6%,275-277,49.8%,3-6,33.3%,23,76.5%,23.8%,5.3%,1.7%,61.8%,68.2%,50.2%,61.3%,38.0%,50.1%,0.98,F (Heilbronn)
2020,29,20,9,69.0%,46-26,63.9%,372-312,54.4%,7-1,87.5%,29,77.9%,29.8%,7.8%,2.4%,61.8%,69.2%,50.8%,62.2%,41.9%,51.9%,1.11,W (Lima)
2019,36,19,17,52.8%,46-39,54.1%,410-403,50.4%,9-2,81.8%,36,76.8%,22.5%,6.4%,2.3%,66.0%,68.1%,50.4%,62.1%,38.2%,50.2%,1.01,SF (Perugia)
2018,31,17,14,54.8%,40-35,53.3%,370-361,50.6%,6-6,50.0%,31,78.7%,22.1%,7.6%,2.1%,63.2%,69.4%,52.9%,63.3%,36.3%,50.0%,0.99,W (San Benedetto Del Tronto)
2017,29,12,17,41.4%,26-36,41.9%,293-325,47.4%,3-4,42.9%,29,76.9%,17.5%,7.4%,3.1%,61.9%,68.1%,53.4%,62.5%,34.8%,49.0%,0.93,F (Bogota)
2016,15,5,10,33.3%,12-23,34.3%,155-191,44.8%,2-1,66.7%,15,72.4%,19.1%,7.3%,3.2%,56.5%,68.4%,50.8%,60.8%,35.7%,48.0%,0.91,QF (Bogota)
2015,6,1,5,16.7%,4-10,28.6%,58-74,43.9%,1-1,50.0%,5,72.4%,19.6%,4.9%,2.4%,55.2%,69.5%,50.9%,61.1%,36.3%,48.8%,0.93,R16 (Barranquilla)
2014,2,0,2,0.0%,0-4,0.0%,12-25,32.4%,0-1,0.0%,2,61.1%,5.6%,6.8%,5.1%,52.1%,67.2%,46.4%,57.3%,28.6%,43.7%,0.67,R32 (2x)
2013,1,0,1,0.0%,0-2,0.0%,7-12,36.8%,0-0,-,1,50.0%,22.2%,9.3%,5.6%,42.6%,52.2%,51.6%,51.9%,36.2%,44.6%,0.75,R32 (Medellin)
Career,298,163,135,54.7%,365-326,52.8%,3453-3283,51.3%,55-46,54.5%,296,78.1%,24.3%,6.7%,2.4%,62.6%,69.5%,51.5%,62.8%,38.5%,50.6%,1.03,
