Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2025 Oeiras 1 CH R32,W vs Bertrand,5.0%,100.0%,14.6%,85.7%,21.7%,37.0%,0.0%,11.6%,50.0%,0.7%,0.0%,-5,20
2024 Curitiba CH R16,L vs Alves,1.1%,0.0%,8.5%,68.8%,15.0%,16.7%,25.0%,7.2%,28.6%,0.7%,100.0%,-40,-25
2024 Curitiba CH R32,W vs Rocha,0.0%,-,10.2%,66.7%,8.2%,3.6%,33.3%,13.2%,40.0%,0.0%,-,-101,-102
2024 Campinas CH R16,L vs Ugo Carabelli,8.8%,60.0%,24.3%,72.7%,13.2%,13.3%,23.1%,5.1%,13.3%,0.3%,100.0%,-22,-21
2024 Campinas CH R32,W vs Dutra Da Silva,12.3%,80.0%,19.5%,73.3%,14.3%,15.8%,0.0%,10.8%,7.7%,0.8%,0.0%,34,31
2024 Tiburon CH QF,L vs Basavareddy,5.5%,33.3%,8.1%,66.7%,9.5%,13.6%,100.0%,10.0%,26.7%,0.4%,0.0%,-74,-62
2024 Antofagasta CH R16,L vs De Jong,2.2%,100.0%,21.2%,54.2%,6.9%,9.3%,16.7%,8.2%,13.3%,1.7%,20.0%,-47,-60
2024 Bogota CH QF,W vs Ficovich,2.3%,100.0%,16.3%,76.9%,18.0%,23.8%,0.0%,20.5%,42.9%,1.5%,50.0%,114,86
2024 Acapulco CH Q1,W vs Zhu,0.0%,-,12.8%,71.4%,4.7%,13.3%,0.0%,10.5%,22.2%,1.1%,0.0%,-91,-76
Career (9 matches),,4.6%,69.6%,15.1%,70.4%,11.6%,15.4%,18.6%,9.6%,21.9%,0.8%,29.4%,-32,-27
