Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,9,2,7,22.2%,7-14,33.3%,84-106,44.2%,1-2,33.3%,9,63.4%,25.5%,5.2%,6.6%,52.6%,63.2%,48.8%,56.4%,40.4%,48.1%,0.93,R16 (2x)
2025,35,15,20,42.9%,34-44,43.6%,370-377,49.5%,3-9,25.0%,32,59.6%,40.3%,3.9%,8.0%,53.3%,65.0%,42.9%,54.6%,45.3%,50.1%,1.00,SF (W35 Mohammedia)
2024,33,16,17,48.5%,40-40,50.0%,368-350,51.3%,4-1,80.0%,7,62.8%,28.6%,3.2%,7.1%,51.9%,63.1%,48.3%,56.0%,41.6%,48.9%,0.94,SF (2x)
2023,61,37,24,60.7%,82-59,58.2%,712-615,53.7%,10-6,62.5%,4,54.8%,50.0%,4.0%,7.5%,47.4%,65.9%,45.1%,54.9%,50.9%,52.9%,1.13,W (2x)
2022,52,31,21,59.6%,66-54,55.0%,582-544,51.7%,7-5,58.3%,3,48.3%,44.8%,0.5%,11.8%,48.5%,58.6%,39.0%,48.5%,51.8%,50.1%,1.01,W (W60 Pretoria)
2021,54,37,17,68.5%,80-42,65.6%,633-508,55.5%,10-3,76.9%,0,,,,,,,,,,,,W (2x)
2020,20,11,9,55.0%,24-20,54.5%,213-190,52.9%,2-1,66.7%,0,,,,,,,,,,,,SF (W15 Monastir)
2019,26,15,11,57.7%,35-24,59.3%,294-257,53.4%,3-2,60.0%,0,,,,,,,,,,,,F (W15 Shymkent)
2018,7,4,3,57.1%,9-7,56.3%,81-70,53.6%,0-2,0.0%,0,,,,,,,,,,,,QF (Kazan $15K)
Career,297,168,129,56.6%,377-304,55.4%,3337-3017,52.5%,40-31,56.3%,55,59.9%,36.9%,3.8%,7.8%,52.4%,64.1%,44.6%,54.8%,44.5%,49.7%,0.98,
