Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,195,111,84,56.9%,241-168,58.9%,1940-1666,53.8%,9-18,33.3%,0,,,,,,,,,,,
Clay,187,129,58,69.0%,259-129,66.8%,1943-1441,57.4%,7-12,36.8%,0,,,,,,,,,,,
Grass,234,154,80,65.8%,305-173,63.8%,2348-1840,56.1%,21-18,53.8%,0,,,,,,,,,,,
Carpet,173,100,73,57.8%,200-157,56.0%,1634-1441,53.1%,20-9,69.0%,0,,,,,,,,,,,
Grand Slams,119,72,47,60.5%,143-99,59.1%,1128-965,53.9%,11-10,52.4%,0,,,,,,,,,,,
Premiers,2,1,1,50.0%,2-3,40.0%,22-25,46.8%,0-0,-,0,,,,,,,,,,,
Finals,44,24,20,54.5%,48-48,50.0%,423-425,49.9%,4-1,80.0%,0,,,,,,,,,,,
Semi-finals,76,35,41,46.1%,74-82,47.4%,680-705,49.1%,4-12,25.0%,0,,,,,,,,,,,
Quarter-finals,114,67,47,58.8%,139-106,56.7%,1133-999,53.1%,11-4,73.3%,0,,,,,,,,,,,
vs Righties,466,267,199,57.3%,548-417,56.8%,4461-4011,52.7%,41-36,53.2%,0,,,,,,,,,,,
vs Lefties,57,27,30,47.4%,58-60,49.2%,534-515,50.9%,4-7,36.4%,0,,,,,,,,,,,
vs Top 10,22,3,19,13.6%,9-39,18.8%,158-266,37.3%,1-1,50.0%,0,,,,,,,,,,,
