Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
1990,2,0,2,0.0%,2-3,40.0%,23-24,48.9%,0-1,0.0%,0,,,,,,,,,,,,R64 (Brisbane)
1989,16,6,10,37.5%,17-22,43.6%,169-185,47.7%,0-0,-,0,,,,,,,,,,,,R16 (3x)
1988,28,14,14,50.0%,32-31,50.8%,266-270,49.6%,1-3,25.0%,0,,,,,,,,,,,,SF (Singapore)
1987,32,19,13,59.4%,36-27,57.1%,294-258,53.3%,2-2,50.0%,0,,,,,,,,,,,,F (Phoenix)
1986,33,19,14,57.6%,36-26,58.1%,292-270,52.0%,4-6,40.0%,0,,,,,,,,,,,,SF (Indianapolis Indoors)
1985,34,17,17,50.0%,35-35,50.0%,320-302,51.4%,0-3,0.0%,0,,,,,,,,,,,,F (Australian Indoor)
1984,6,3,3,50.0%,7-5,58.3%,57-50,53.3%,0-2,0.0%,0,,,,,,,,,,,,R16 (Brisbane)
1983,27,12,15,44.4%,29-26,52.7%,241-228,51.4%,1-5,16.7%,0,,,,,,,,,,,,SF (Wimbledon Plate)
1982,34,18,16,52.9%,35-37,48.6%,301-324,48.2%,4-0,100.0%,0,,,,,,,,,,,,SF (Houston)
1981,36,17,19,47.2%,34-37,47.9%,311-312,49.9%,3-2,60.0%,0,,,,,,,,,,,,SF (2x)
1980,72,47,25,65.3%,98-50,66.2%,722-549,56.8%,4-2,66.7%,0,,,,,,,,,,,,F (Minneapolis)
1979,91,62,29,68.1%,127-62,67.2%,956-666,58.9%,9-7,56.3%,0,,,,,,,,,,,,W (Boston)
1978,42,30,12,71.4%,59-28,67.8%,436-329,57.0%,4-3,57.1%,0,,,,,,,,,,,,W (2x)
1977,61,39,22,63.9%,80-48,62.5%,626-496,55.8%,6-4,60.0%,0,,,,,,,,,,,,F (3x)
1976,55,42,13,76.4%,84-34,71.2%,605-416,59.3%,3-3,50.0%,0,,,,,,,,,,,,W (3x)
1975,66,37,29,56.1%,74-57,56.5%,624-542,53.5%,2-7,22.2%,0,,,,,,,,,,,,W (Wimbledon Plate)
1974,77,55,22,71.4%,111-50,68.9%,829-575,59.0%,7-4,63.6%,0,,,,,,,,,,,,W (4x)
1973,69,56,13,81.2%,107-37,74.3%,755-505,59.9%,6-3,66.7%,0,,,,,,,,,,,,W (13x)
1972,18,10,8,55.6%,19-15,55.9%,148-133,52.7%,3-1,75.0%,0,,,,,,,,,,,,F (2x)
1971,1,0,1,0.0%,0-2,0.0%,3-12,20.0%,0-0,-,0,,,,,,,,,,,,R32 (Australian Open)
Career,800,503,297,62.9%,1022-632,61.8%,7978-6446,55.3%,59-58,50.4%,0,,,,,,,,,,,,
