Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2025 Roland Garros R128,L vs Alcaraz,22.4%,35.3%,43.9%,31.1%,29.1%,47.3%,53.8%,42.5%,40.7%,60.7%,33.3%,10.0%,13.3%,29.6%,-79
2024 Rotterdam Q2,L vs Bergs,23.1%,32.1%,39.2%,29.1%,26.2%,42.9%,41.9%,37.4%,39.1%,57.9%,57.1%,25.9%,25.9%,35.0%,122
2022 Umag SF,L vs Alcaraz,28.0%,37.3%,36.1%,31.6%,38.9%,45.8%,36.4%,44.9%,50.0%,71.1%,71.4%,11.4%,25.0%,35.9%,-13
2022 Roland Garros R128,L vs Hurkacz,28.3%,40.6%,49.3%,33.7%,39.3%,55.4%,50.0%,49.5%,39.3%,60.7%,33.3%,17.8%,26.7%,48.6%,58
2020 Sardinia R32,L vs Sonego,16.9%,29.9%,55.0%,27.5%,23.1%,38.5%,57.5%,38.8%,20.0%,66.7%,100.0%,4.8%,14.3%,50.0%,-74
Career (5 matches),,24.4%,35.6%,44.4%,30.9%,32.1%,46.2%,47.9%,43.1%,38.7%,64.3%,62.5%,14.4%,22.2%,39.9%,26
