Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,4,1,3,25.0%,2-6,25.0%,31-42,42.5%,0-0,-,4,70.3%,13.9%,9.4%,4.3%,61.4%,64.3%,50.0%,58.8%,34.7%,47.0%,0.84
Clay,2,0,2,0.0%,0-5,0.0%,18-31,36.7%,0-0,-,2,66.7%,8.0%,5.2%,3.2%,64.3%,65.7%,38.2%,55.8%,31.0%,43.4%,0.70
Grass,1,0,1,0.0%,2-3,40.0%,26-25,51.0%,0-1,0.0%,1,84.0%,20.0%,15.7%,5.0%,56.4%,79.7%,55.7%,69.3%,34.7%,50.3%,1.13
Grand Slams,2,0,2,0.0%,2-6,25.0%,35-43,44.9%,0-1,0.0%,2,78.9%,12.8%,12.4%,3.1%,59.6%,74.6%,49.5%,64.4%,32.8%,47.6%,0.92
Masters,1,0,1,0.0%,0-2,0.0%,6-13,31.6%,0-0,-,1,50.0%,11.1%,4.5%,3.0%,56.7%,55.3%,44.8%,50.7%,31.4%,42.4%,0.64
Other Tours,4,1,3,25.0%,2-6,25.0%,34-42,44.7%,0-0,-,4,73.7%,15.8%,8.9%,5.5%,63.4%,66.4%,48.8%,60.0%,35.0%,47.4%,0.87
Best of 5,2,0,2,0.0%,2-6,25.0%,35-43,44.9%,0-1,0.0%,2,78.9%,12.8%,12.4%,3.1%,59.6%,74.6%,49.5%,64.4%,32.8%,47.6%,0.92
Best of 3,5,1,4,20.0%,2-8,20.0%,40-55,42.1%,0-0,-,5,68.8%,14.9%,7.9%,5.0%,61.9%,64.2%,47.8%,57.9%,34.4%,46.4%,0.82
vs Righties,6,1,5,16.7%,4-12,25.0%,68-86,44.2%,0-1,0.0%,6,72.7%,15.8%,10.2%,4.5%,60.6%,69.5%,48.1%,61.1%,35.0%,47.7%,0.90
vs Lefties,1,0,1,0.0%,0-2,0.0%,7-12,36.8%,0-0,-,1,77.8%,0.0%,7.0%,1.8%,63.2%,61.1%,52.4%,57.9%,20.8%,40.0%,0.49
vs Top 10,1,0,1,0.0%,0-3,0.0%,9-18,33.3%,0-0,-,1,69.2%,0.0%,7.1%,0.0%,64.7%,67.3%,36.7%,56.5%,29.1%,42.7%,0.67
