Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,169,82,87,48.5%,190-201,48.6%,1850-1863,49.8%,15-27,35.7%,168,67.7%,32.6%,4.0%,5.0%,59.9%,64.8%,46.8%,57.6%,42.4%,49.9%,1.00
Clay,29,9,20,31.0%,22-43,33.8%,266-349,43.3%,5-2,71.4%,28,56.8%,30.1%,2.7%,4.5%,60.1%,57.9%,44.7%,52.6%,42.0%,47.2%,0.89
Grass,22,10,12,45.5%,23-27,46.0%,240-242,49.8%,2-4,33.3%,22,69.6%,30.8%,4.7%,5.1%,58.4%,67.0%,47.4%,58.9%,41.8%,50.4%,1.02
Grand Slams,38,19,19,50.0%,43-48,47.3%,422-448,48.5%,6-4,60.0%,38,61.7%,35.2%,4.2%,4.8%,60.4%,61.7%,44.9%,55.1%,43.5%,49.3%,0.97
Premiers,31,10,21,32.3%,24-45,34.8%,293-350,45.6%,0-7,0.0%,31,61.9%,30.4%,3.6%,4.9%,57.8%,62.9%,46.8%,56.1%,41.5%,48.8%,0.95
Internationals,100,52,48,52.0%,119-112,51.5%,1125-1097,50.6%,11-15,42.3%,100,69.7%,32.3%,4.2%,5.0%,59.5%,65.6%,47.2%,58.2%,42.3%,50.1%,1.01
Finals,2,0,2,0.0%,1-4,20.0%,23-30,43.4%,0-2,0.0%,2,76.0%,15.4%,5.1%,3.2%,61.1%,69.8%,49.2%,61.8%,38.0%,48.8%,0.99
Semi-finals,10,2,8,20.0%,5-17,22.7%,91-125,42.1%,0-2,0.0%,10,58.9%,26.2%,3.8%,5.3%,62.4%,59.7%,42.9%,53.4%,39.2%,46.5%,0.84
Quarter-finals,15,10,5,66.7%,19-16,54.3%,183-171,51.7%,3-3,50.0%,15,73.6%,30.7%,4.9%,3.9%,62.0%,67.6%,48.1%,60.2%,42.9%,51.2%,1.08
vs Righties,198,88,110,44.4%,204-249,45.0%,2087-2212,48.5%,18-29,38.3%,196,65.9%,32.0%,3.8%,4.9%,59.9%,63.6%,46.5%,56.7%,42.2%,49.4%,0.98
vs Lefties,16,8,8,50.0%,21-18,53.8%,195-186,51.2%,3-4,42.9%,16,72.5%,30.2%,4.1%,4.4%,60.8%,67.6%,47.1%,59.5%,41.3%,50.4%,1.02
vs Top 10,17,4,13,23.5%,11-27,28.9%,153-198,43.6%,0-4,0.0%,16,59.0%,28.1%,3.7%,4.8%,59.3%,62.6%,42.0%,54.2%,41.2%,47.5%,0.90
