Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2024 US Open R32,L vs Draper,105.5,113.8,9.4,115.6,109.8,129,96,89.2,5.1,91.0,89.3,103,79
2024 US Open R64,W vs Alcaraz,106.7,115.0,9.5,119.7,113.7,132,94,85.8,6.7,79.3,91.0,101,73
2024 US Open R128,W vs Shapovalov,102.1,108.1,9.6,110.2,105.7,124,80,90.8,5.9,90.3,90.0,105,77
2024 Wimbledon R64,L vs Humbert,112.8,121.2,8.5,124.9,116.5,133,103,100.8,6.6,104.2,97.3,113,86
2024 Wimbledon R128,W vs Broady,110.3,118.0,8.6,124.2,113.8,133,96,95.0,4.8,100.7,93.0,106,87
2023 US Open R64,L vs Evans,109.6,117.7,5.8,119.8,114.1,130,106,96.9,5.8,103.1,,107,84
2023 US Open R128,W vs Thompson,110.6,121.5,5.1,121.2,119.0,130,112,99.0,4.8,99.0,93.0,109,90
2022 US Open R64,L vs Moutet,113.5,120.0,8.5,123.7,115.6,138,103,99.5,9.0,98.6,103.0,118,69
2022 US Open R128,W vs Machac,112.4,120.6,10.6,127.5,119.4,136,72,100.6,8.0,104.2,99.5,117,67
2022 Wimbledon R16,L vs Nadal,114.3,120.8,7.4,122.2,118.8,131,102,101.7,5.8,99.4,104.8,115,89
2022 Wimbledon R32,W vs Gasquet,114.4,120.7,6.9,123.3,117.5,132,106,101.7,4.4,104.0,99.0,112,93
2022 Wimbledon R64,W vs Ruusuvuori,114.8,122.2,7.1,,,133,99,103.3,6.1,,,114,92
2021 US Open QF,L vs Medvedev,107.0,114.2,10.3,118.3,107.3,134,89,90.3,7.2,85.0,101.0,101,71
2021 US Open R16,W vs Schwartzman,111.9,119.0,7.4,120.8,114.7,134,98,95.6,5.2,96.0,100.5,108,83
2021 US Open R32,W vs Bagnis,108.0,115.8,11.6,119.7,110.0,130,62,96.7,6.5,98.5,96.0,112,78
2021 US Open R64,W vs Ruud,106.6,116.3,10.5,122.0,110.9,134,69,93.1,9.0,100.0,,109,63
2021 US Open R128,W vs Taberner,110.1,117.8,8.1,121.4,110.5,133,80,95.0,9.6,97.2,98.5,112,63
2021 Wimbledon R64,L vs Berrettini,111.5,119.7,7.0,120.8,117.0,133,102,101.2,6.4,101.5,101.0,119,89
Career (18 matches),,110.3,117.9,8.6,121.2,113.8,138,62,96.9,6.7,98.2,97.7,119,63
