Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2026 Rotterdam QF,L vs De Minaur,1.9%,100.0%,14.6%,68.8%,10.2%,24.0%,0.0%,4.7%,6.7%,0.6%,33.3%,-9,28
2026 Rotterdam R32,W vs Pavlovic,0.0%,-,12.6%,77.8%,9.9%,13.3%,0.0%,17.5%,50.0%,0.0%,-,-18,38
2026 Australian Open R32,L vs Djokovic,0.0%,-,12.5%,60.0%,12.9%,17.9%,50.0%,4.2%,18.2%,2.2%,28.6%,3,19
2026 Australian Open R128,W vs Nakashima,0.0%,-,10.1%,81.5%,17.1%,28.6%,50.0%,6.0%,27.8%,1.3%,80.0%,16,54
2025 Brussels R32,W vs Fonseca,5.3%,100.0%,14.3%,79.2%,13.0%,21.4%,0.0%,5.9%,37.5%,0.8%,50.0%,2,64
2025 Davis Cup Qualifiers RR,L vs Cerundolo,5.1%,75.0%,10.9%,56.3%,12.9%,21.4%,20.0%,7.1%,18.2%,1.2%,33.3%,-20,6
2025 Winston Salem F,L vs Fucsovics,2.9%,100.0%,16.7%,66.7%,9.0%,10.8%,0.0%,4.7%,22.2%,0.3%,0.0%,-38,-35
2025 Kitzbuhel SF,L vs Bublik,9.8%,83.3%,16.7%,50.0%,26.2%,18.2%,66.7%,8.1%,18.2%,2.5%,33.3%,183,48
2025 Indian Wells R32,L vs Cerundolo,1.8%,0.0%,18.0%,52.2%,10.4%,17.6%,27.3%,3.7%,0.0%,1.8%,60.0%,-36,-18
2025 Indian Wells R64,W vs Djokovic,1.3%,100.0%,14.2%,72.7%,12.4%,22.6%,11.1%,4.1%,20.0%,0.7%,0.0%,-37,-28
2025 Indian Wells R128,W vs Kyrgios,0.0%,-,12.7%,80.0%,9.8%,0.0%,20.0%,1.8%,0.0%,0.5%,0.0%,-83,-51
2025 Doha R16,L vs De Minaur,0.0%,-,13.8%,75.0%,7.1%,10.3%,0.0%,5.8%,17.6%,0.5%,0.0%,-59,-38
2025 Rotterdam R32,L vs Alcaraz,4.2%,75.0%,12.8%,40.0%,8.5%,18.2%,0.0%,3.4%,27.3%,0.3%,0.0%,-82,-81
2025 Montpellier R32,L vs Griekspoor,0.0%,-,5.2%,42.9%,25.8%,27.8%,0.0%,11.1%,66.7%,2.2%,25.0%,-27,42
2025 Australian Open R128,L vs De Minaur,4.7%,75.0%,14.8%,74.1%,9.0%,21.1%,8.3%,2.9%,11.8%,1.1%,50.0%,-18,4
2024 Davis Cup Finals RR,L vs Berrettini,5.7%,0.0%,17.8%,63.2%,13.7%,18.8%,0.0%,0.0%,0.0%,1.6%,0.0%,13,-11
2024 Davis Cup Finals SF,W vs Altmaier,14.2%,88.2%,20.6%,76.1%,12.0%,14.7%,21.4%,6.1%,0.0%,0.9%,33.3%,22,5
2024 Davis Cup Finals QF,W vs Nadal,7.1%,100.0%,11.3%,100.0%,23.7%,30.0%,25.0%,25.0%,33.3%,0.0%,-,34,129
2024 Shanghai R64,L vs Etcheverry,2.5%,66.7%,17.5%,82.2%,9.6%,20.3%,3.4%,5.8%,31.6%,0.9%,33.3%,-62,-49
2024 Davis Cup World Group RR,L vs Berrettini,3.1%,100.0%,14.1%,77.8%,15.2%,19.6%,10.0%,4.4%,0.0%,0.7%,0.0%,-11,-12
Career (107 matches),,2.0%,69.9%,12.9%,69.8%,13.5%,18.8%,11.9%,5.4%,22.5%,1.6%,28.2%,-18,3
