Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2026 Rotterdam QF,L vs De Minaur,30.3%,39.5%,53.3%,35.3%,49.3%,58.0%,51.4%,58.0%,50.0%,31.4%,50.0%,4.8%,16.7%,55.0%,-74
2026 Rotterdam R32,W vs Pavlovic,35.8%,47.8%,56.8%,42.8%,47.5%,65.0%,61.9%,59.3%,47.6%,26.3%,100.0%,23.8%,28.6%,50.0%,86
2026 Australian Open R32,L vs Djokovic,27.9%,37.5%,43.7%,32.8%,41.9%,56.5%,44.4%,50.2%,43.8%,20.0%,50.0%,7.9%,10.5%,42.9%,-39
2026 Australian Open R128,W vs Nakashima,41.1%,50.4%,53.9%,46.3%,50.0%,61.5%,56.3%,57.6%,47.8%,18.0%,0.0%,26.3%,31.6%,50.0%,126
2025 Brussels R32,W vs Fonseca,44.4%,54.2%,51.4%,48.9%,62.5%,70.8%,66.7%,69.2%,52.4%,22.2%,0.0%,9.5%,23.8%,36.8%,-26
2025 Davis Cup Qualifiers RR,L vs Cerundolo,19.8%,29.6%,36.7%,25.6%,26.0%,40.0%,43.2%,35.4%,19.0%,34.5%,40.0%,11.1%,14.8%,25.0%,-15
2025 Winston Salem F,L vs Fucsovics,18.1%,29.2%,46.4%,25.7%,30.0%,42.5%,64.3%,43.8%,40.0%,25.0%,33.3%,3.4%,13.8%,28.6%,-84
2025 Kitzbuhel SF,L vs Bublik,23.8%,41.3%,46.7%,30.2%,31.0%,50.0%,48.3%,40.5%,42.1%,30.4%,20.0%,11.1%,27.8%,43.8%,-13
2025 Indian Wells R32,L vs Cerundolo,15.8%,31.6%,52.2%,24.2%,18.9%,35.1%,56.7%,31.9%,38.9%,26.3%,50.0%,11.1%,27.8%,43.8%,-8
2025 Indian Wells R64,W vs Djokovic,29.3%,40.2%,51.9%,37.1%,29.3%,43.1%,43.9%,40.3%,50.0%,21.9%,0.0%,35.0%,40.0%,76.9%,173
2025 Indian Wells R128,W vs Kyrgios,27.1%,35.6%,55.0%,32.5%,37.1%,48.6%,54.5%,46.3%,25.0%,13.0%,0.0%,14.3%,19.0%,55.6%,19
2025 Doha R16,L vs De Minaur,12.0%,25.3%,54.8%,17.6%,25.0%,41.7%,51.9%,36.7%,66.7%,33.3%,0.0%,0.0%,11.4%,57.1%,-118
2025 Rotterdam R32,L vs Alcaraz,25.0%,33.0%,47.8%,29.8%,32.3%,41.9%,47.6%,40.0%,59.4%,43.3%,50.0%,16.7%,23.3%,48.0%,27
2025 Montpellier R32,L vs Griekspoor,33.3%,43.9%,42.9%,36.8%,50.0%,64.3%,50.0%,57.1%,58.3%,25.0%,50.0%,26.3%,36.8%,35.7%,72
2025 Australian Open R128,L vs De Minaur,28.9%,40.0%,42.1%,34.1%,38.6%,54.5%,40.7%,49.3%,40.9%,36.4%,40.0%,23.1%,30.8%,43.3%,97
2024 Davis Cup Finals RR,L vs Berrettini,21.4%,30.4%,46.5%,33.4%,22.2%,36.1%,60.7%,40.8%,37.5%,30.0%,50.0%,21.1%,21.1%,20.0%,-3
2024 Davis Cup Finals SF,W vs Altmaier,22.6%,40.3%,55.4%,34.0%,23.3%,46.5%,57.6%,39.8%,67.6%,25.0%,40.0%,23.5%,29.4%,50.0%,80
2024 Davis Cup Finals QF,W vs Nadal,33.3%,42.4%,75.0%,41.5%,45.8%,58.3%,76.9%,57.1%,60.0%,28.6%,-,0.0%,0.0%,66.7%,-118
2024 Shanghai R64,L vs Etcheverry,17.7%,30.6%,57.4%,27.7%,26.4%,45.8%,69.8%,43.6%,57.6%,17.9%,16.7%,6.8%,11.4%,41.5%,-51
2024 Davis Cup World Group RR,L vs Berrettini,27.7%,37.6%,52.1%,36.2%,31.9%,45.8%,57.1%,43.9%,38.2%,28.9%,37.5%,18.5%,18.5%,40.9%,25
Career (107 matches),,26.2%,38.0%,51.9%,33.2%,34.4%,48.9%,55.6%,45.6%,45.7%,32.6%,38.3%,14.7%,23.0%,46.4%,21
