Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2024-11-11),973,20,,,,,,,,,730,71,,
2023,321,207,252,1439,239,1415,241,1393,240,1301,,,,
2022,160,406,191,1529,176,1507,192,1453,194,1379,,,,
2021,268,262,235,1443,209,1425,268,1316,198,1355,,,,
2020,204,324,,,,,,,,,193,441,,
2019,181,344,237,1450,228,1430,272,1319,,,173,450,,
2018,218,268,,,,,,,,,127,545,,
2017,256,210,223,1349,220,1338,204,1282,191,1324,369,153,,
2016,182,310,218,1392,214,1374,,,,,321,171,,
2015,257,176,,,,,,,,,186,354,,
2014,313,115,,,,,,,,,258,205,,
2013,370,119,,,,,,,,,307,200,,
2012,790,20,,,,,,,,,911,20,,
2011,481,73,,,,,,,,,717,38,,
2010,1074,5,,,,,,,,,,,,
2009,794,18,,,,,,,,,,,,
