Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2021,818,34,,,,,,,,,,,,
2020,688,41,,,,,,,,,128,693,,
2019,750,28,,,,,,,,,188,404,,
2018,,,,,,,,,,,373,148,,
2017,513,59,,,,,,,,,139,515,,
2016,247,199,175,1509,186,1447,177,1426,147,1461,72,1128,,
2015,153,356,152,1555,155,1523,164,1447,152,1441,71,1069,,
2014,156,337,207,1496,183,1487,207,1386,171,1377,68,1154,,
2013,183,344,189,1542,168,1526,203,1431,166,1429,146,522,,
2012,217,268,,,,,,,,,122,616,,
2011,398,103,,,,,,,,,452,108,,
2010,427,83,,,,,,,,,353,160,,
2009,579,44,,,,,,,,,,,,
2008,945,7,,,,,,,,,,,,
