Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2022 Budapest R32,L vs Pera,4.4,4.4,4.5,39.4%,54.3%,46.7%,26.7%,50.0%,3.8%,-1.5,-1.2,0.5,0.4
Career (1 matches),,4.4,4.4,4.5,39.4%,54.3%,46.7%,26.7%,50.0%,3.8%,-1.5,-1.2,0.5,0.4
