Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,11,Hard,54,45,9,83.3%,37,20,17,54.1%,1989,2002,W,43,1.25,13.2%,4.0%,63.0%,81.2%,51.3%,70.1%,37.5%,69.1%,45.3%
Roland Garros,13,Clay,37,24,13,64.9%,19,8,11,42.1%,1989,2002,SF,33,1.05,8.4%,3.8%,60.8%,75.6%,48.0%,64.7%,37.1%,64.5%,38.8%
Wimbledon,14,Grass,70,63,7,90.0%,52,32,20,61.5%,1989,2002,W,65,1.45,13.7%,4.5%,63.6%,86.7%,52.3%,74.2%,37.5%,76.3%,40.4%
US Open,14,Hard,80,71,9,88.8%,50,35,15,70.0%,1988,2002,W,65,1.31,13.2%,4.7%,58.9%,84.4%,52.6%,71.3%,37.5%,70.5%,41.3%
Olympics,1,,3,2,1,66.7%,2,2,0,100.0%,1992,1992,R16,0,,,,,,,,,,
Davis Cup,7,,23,15,8,65.2%,15,6,9,40.0%,1991,2002,,0,,,,,,,,,,
Miami Masters,13,Hard,53,43,10,81.1%,23,13,10,56.5%,1990,2002,W,48,1.24,12.6%,5.0%,55.3%,80.3%,52.8%,68.0%,39.6%,64.8%,43.5%
Cincinnati Masters,12,Hard,45,36,9,80.0%,26,19,7,73.1%,1990,2002,W,42,1.23,14.4%,5.9%,56.5%,81.6%,54.0%,69.6%,37.4%,67.7%,41.9%
Queen's Club,12,Grass,39,29,10,74.4%,19,12,7,63.2%,1989,2001,W,33,1.19,14.7%,5.1%,60.0%,79.3%,55.3%,69.7%,36.2%,70.8%,41.4%
Indian Wells Masters,12,Hard,38,28,10,73.7%,12,7,5,58.3%,1990,2002,W,35,1.19,14.8%,5.6%,58.5%,79.6%,51.6%,68.0%,38.1%,65.7%,43.0%
Tour Finals,10,Hard,45,33,12,73.3%,25,15,10,60.0%,1990,1999,W,41,1.20,14.0%,4.7%,59.4%,81.8%,53.5%,70.3%,35.7%,64.9%,37.7%
Philadelphia,10,Hard,35,29,6,82.9%,17,12,5,70.6%,1988,1998,W,27,1.24,13.8%,3.3%,55.5%,80.1%,52.4%,67.7%,39.9%,55.2%,42.7%
Paris Masters,10,Carpet,32,24,8,75.0%,18,12,6,66.7%,1990,1999,W,28,1.17,13.6%,3.4%,60.8%,79.1%,53.4%,69.0%,36.3%,73.5%,33.8%
Rome Masters,10,Clay,26,17,9,65.4%,13,8,5,61.5%,1991,2002,W,26,1.14,9.7%,4.4%,57.3%,76.1%,49.7%,64.8%,40.0%,61.7%,41.5%
