Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2019 Gwangju CH R64,L vs Ilkel,28,29,1.0,18.7%,19.3%,20,23,0.9,15.4%,17.7%,3.8%,10.8%,1.3,16.7%,13.3%
2019 Busan CH R64,L vs Yang,23,19,1.2,17.0%,14.1%,21,18,1.2,17.2%,14.8%,12.3%,4.9%,1.3,16.3%,12.6%
2019 Puerto Vallarta CH R32,L vs Brown,20,26,0.8,10.2%,13.3%,19,20,1.0,10.6%,11.2%,7.3%,3.4%,1.2,16.3%,13.8%
2019 Puerto Vallarta CH R64,W vs Crepatte,16,17,0.9,14.5%,15.5%,12,10,1.2,12.5%,10.4%,8.3%,4.2%,0.5,10.9%,23.6%
2019 Leon CH R64,L vs Escobar,33,25,1.3,16.8%,12.7%,17,15,1.1,10.7%,9.4%,7.5%,3.1%,1.5,16.2%,11.2%
2019 San Luis Potosi CH R32,L vs Bublik,16,24,0.7,14.2%,21.2%,11,15,0.7,12.2%,16.7%,10.0%,2.2%,0.9,13.3%,14.2%
2019 San Luis Potosi CH R64,W vs King,42,51,0.8,18.8%,22.8%,31,32,1.0,16.3%,16.8%,8.9%,7.4%,0.4,5.8%,13.8%
2019 Monterrey CH R32,L vs Krueger,23,30,0.8,14.1%,18.4%,13,22,0.6,10.0%,16.9%,9.2%,0.8%,1.1,12.9%,12.3%
2019 Monterrey CH R64,W vs Escobedo,31,18,1.7,24.6%,14.3%,22,17,1.3,20.0%,15.5%,16.4%,3.6%,0.9,11.1%,11.9%
2018 Australian Open R128,L vs Tsonga,17,28,0.6,8.8%,14.5%,17,28,0.6,9.9%,16.3%,,,1.9,19.7%,10.4%
2017 Monterrey CH SF,L vs Marterer,15,25,0.6,11.5%,19.2%,13,22,0.6,11.5%,19.5%,8.8%,1.8%,1.1,19.2%,17.7%
Career (11 matches),,264,292,0.9,15.2%,16.8%,196,222,0.9,13.1%,14.9%,8.0%,3.9%,1.1,14.3%,13.6%
